Incident_energy;Reflection_coeff;Implantation_range;Implantation_straggle;theta_inc
225;0.798577986;4.40E-09;2.40E-09;80
250;0.795217952;4.70E-09;2.60E-09;80
275;0.793637936;5.00E-09;2.70E-09;80
300;0.792507925;5.30E-09;2.90E-09;80
325;0.791657917;5.50E-09;3.00E-09;80
350;0.791487915;5.70E-09;3.20E-09;80
375;0.79198792;6.00E-09;3.30E-09;80
400;0.785947859;6.20E-09;3.50E-09;80
450;0.785367854;6.70E-09;3.70E-09;80
500;0.781647816;7.20E-09;4.00E-09;80
550;0.782827828;7.60E-09;4.20E-09;80
600;0.780077801;8.10E-09;4.40E-09;80
650;0.777437774;8.40E-09;4.70E-09;80
700;0.778657787;8.80E-09;4.90E-09;80
750;0.774197742;9.20E-09;5.10E-09;80
800;0.772067721;9.60E-09;5.30E-09;80
850;0.774337743;1.00E-08;5.50E-09;80
900;0.771137711;1.04E-08;5.70E-09;80
950;0.769087691;1.07E-08;5.90E-09;80
1000;0.768847688;1.11E-08;6.10E-09;80
1200;0.762877629;1.24E-08;6.90E-09;80
