R_wall[m];Z_wall[m];Eion[eV];Eatom[eV];ion_flux[m^-2s^-1];atom_flux[m^-2s^-1];net_heat_flux[W/m^2]
1.834317829349430;-0.000158735598391;6.310586993759377;15.621992372149379;0.000000000000000e+00;1.938483305675980e+20;1.002717812942951e+03
1.834706229936351;-0.044510143222937;6.312219134304279;15.316006220177298;0.000000000000000e+00;2.236204034545841e+20;1.100857488832323e+03
1.835841440952730;-0.087488603204553;6.313652879662839;15.122873549383137;0.000000000000000e+00;2.143810404626323e+20;1.235515961515690e+03
1.836744511936566;-0.110208392712954;6.314508655216213;15.371334577385317;0.000000000000000e+00;2.476551534684826e+20;1.349748684191092e+03
1.837643047226551;-0.128988028027827;6.315026201884233;14.793142306301757;0.000000000000000e+00;2.442165093886654e+20;1.211779628444036e+03
1.840024765023917;-0.168886009813733;6.315803961325702;15.199071907423999;0.000000000000000e+00;2.729706094100470e+20;1.384327474475727e+03
1.842919199185565;-0.207266300066280;6.316503747270350;15.621345405930390;0.000000000000000e+00;2.833926327846270e+20;1.501404208769569e+03
1.846243499395267;-0.243981597740951;6.316961898480334;15.572577090363922;0.000000000000000e+00;3.294969849450044e+20;1.602434227597238e+03
1.849909328752176;-0.278889472199119;6.317185958594306;15.278916205075660;0.000000000000000e+00;3.621450288056895e+20;1.845202516717512e+03
1.853833948654723;-0.311837760949332;6.317193019830861;14.763975091232121;0.000000000000000e+00;3.920713461416899e+20;2.002358709308459e+03
1.857927977156897;-0.342839820940864;6.316997679646149;14.408974649992262;0.000000000000000e+00;4.249595646485567e+20;2.196209418430379e+03
1.862099199886752;-0.371737864654384;6.316613166079093;13.855817163484863;0.000000000000000e+00;4.800974417383213e+20;2.311400065305043e+03
1.866247809865029;-0.398392290151689;6.316062889335758;13.597393637184645;0.000000000000000e+00;4.895785537314538e+20;2.469858686899125e+03
1.870325617731940;-0.422890933055680;6.315382992497899;13.770716449272603;0.000000000000000e+00;4.767220493967035e+20;2.517073291650620e+03
1.874236490630939;-0.445074447982751;6.314625130521661;13.741430985194702;0.000000000000000e+00;4.602865810477603e+20;2.412916415537676e+03
1.876707532565899;-0.458527697784967;6.314101700478925;13.202503754073049;0.000000000000000e+00;5.166911395456284e+20;2.395729663053726e+03
1.877912287127080;-0.464949089252388;6.313712651941652;12.809231914417133;0.000000000000000e+00;4.506278467403033e+20;2.524692977057965e+03
1.881348269215911;-0.482757331310039;6.313082852238817;12.683570541984169;0.000000000000000e+00;4.283078280879034e+20;2.391296757411420e+03
1.884421717254724;-0.498128631446763;6.312387108273143;12.146252911973798;0.000000000000000e+00;4.743420041820274e+20;2.724138237341322e+03
1.887242212704083;-0.511792576105626;6.311776256610576;12.126769239568034;0.000000000000000e+00;3.842884154752076e+20;2.403209813453401e+03
1.889626039726969;-0.523061670998000;6.311259744263812;12.067121729625748;0.000000000000000e+00;4.264569325492001e+20;2.505555865789065e+03
1.891727962376673;-0.532798186238564;6.310831970384689;12.272195241029527;0.000000000000000e+00;4.547811306314960e+20;2.742071850153457e+03
1.893480959792718;-0.540764681352193;6.310484576735522;12.062596085189845;0.000000000000000e+00;4.155399583666023e+20;2.448192879541910e+03
1.894947961890539;-0.547352102456637;6.310211123395724;12.151009710702786;0.000000000000000e+00;4.662876773891208e+20;2.459900055205866e+03
1.896038540318783;-0.552202849165115;6.310001345594472;12.406894582863794;0.000000000000000e+00;4.966604021775386e+20;2.696854824802373e+03
1.897256084906312;-0.556169711248228;6.309884018308812;12.071588206456783;5.092763881793909e+18;3.703259192579893e+20;2.073857246043715e+03
