s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
9.215002083895940e-01;1.338682022639958e+21;1.041439373736980e+01;NaN;1.622662550747307e+22;8.371806580028840e+00;NaN;2.016663417498085e+04
9.224442009648133e-01;1.561519673206779e+21;1.188700862749646e+01;NaN;1.653926351808267e+22;8.552155472849556e+00;NaN;1.974552072322747e+04
9.232251631697683e-01;1.563546929343088e+21;1.131085769750789e+01;NaN;1.583095057273538e+22;8.620860539631904e+00;NaN;1.981397071796176e+04
9.238357492380214e-01;0.000000000000000e+00;NaN;NaN;1.540502449072347e+22;8.844725950648856e+00;NaN;1.511865907372881e+04
9.242697664149448e-01;0.000000000000000e+00;NaN;NaN;1.693627441289624e+22;8.037242453664396e+00;NaN;1.614294120270110e+04
9.245475004113730e-01;0.000000000000000e+00;NaN;NaN;1.664753790666829e+22;8.789834631710782e+00;NaN;1.646217305666990e+04
9.284488689588918e-01;2.766057198942229e+21;1.120864907662771e+01;NaN;1.746213905967790e+22;8.722174387152233e+00;NaN;2.491566590164022e+04
9.352312804634425e-01;4.991558819598385e+21;1.135109594915363e+01;NaN;1.853139698726324e+22;8.937609162024383e+00;NaN;3.317529002503379e+04
9.402261310142657e-01;7.610975516232006e+21;1.164421455774482e+01;NaN;1.966640576500853e+22;8.860129518630989e+00;NaN;4.270312725825228e+04
9.438296359310472e-01;9.741484638696259e+21;1.221041828313550e+01;NaN;2.098413367662675e+22;9.179091931762640e+00;NaN;5.161765054459506e+04
9.477096947575977e-01;1.358186957315108e+22;1.267186548362903e+01;NaN;2.233207801556081e+22;9.172371310571085e+00;NaN;6.543911620649904e+04
9.521916256062684e-01;1.843685571146919e+22;1.273111582191691e+01;NaN;2.385468363138399e+22;9.651143403772004e+00;NaN;8.257595907361674e+04
9.564481634798810e-01;2.219360802435940e+22;1.290312931833505e+01;NaN;2.506568598081780e+22;9.452175577969534e+00;NaN;9.576747236547746e+04
9.606991407803525e-01;2.244686415533505e+22;1.312629270275329e+01;NaN;2.547753162268499e+22;9.679673648809873e+00;NaN;9.882994132745989e+04
9.649498118263933e-01;2.398963159266323e+22;1.337370903983326e+01;NaN;2.510470780950105e+22;9.451287714095903e+00;NaN;1.012254609950106e+05
9.688494253851441e-01;2.537378846604620e+22;1.345855004476983e+01;NaN;2.464118822537969e+22;9.706169744100132e+00;NaN;1.047658271822999e+05
9.724376765229517e-01;2.452002935986647e+22;1.350217002080873e+01;NaN;2.394114020896839e+22;9.653674182061968e+00;NaN;1.040263161425890e+05
9.758454759663759e-01;2.448005954654022e+22;1.347063116033165e+01;NaN;2.325880976732739e+22;9.721700425992744e+00;NaN;1.035355320421657e+05
