s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
5.713959183633919e-01;0.000000000000000e+00;NaN;NaN;6.030501444052825e+20;2.634284393393329e+01;NaN;2.925853245073698e+03
5.741881384659409e-01;0.000000000000000e+00;NaN;NaN;5.699646603907062e+20;2.711992091035600e+01;NaN;2.689478392187290e+03
5.788294445512920e-01;0.000000000000000e+00;NaN;NaN;6.024981263388963e+20;3.160372073870591e+01;NaN;3.040899975345350e+03
5.844813744780388e-01;0.000000000000000e+00;NaN;NaN;5.405638705748325e+20;3.130329700337115e+01;NaN;2.894603211298889e+03
5.895001350316618e-01;0.000000000000000e+00;NaN;NaN;2.240061158685687e+20;3.831251919112494e+01;NaN;1.224041584618334e+03
5.958303396743118e-01;2.163447123704146e+18;1.044048796215229e+01;NaN;2.786550550041597e+20;3.489175680038199e+01;NaN;1.347538031112503e+03
6.059607146042290e-01;1.236786444369064e+18;1.445542831836521e+01;NaN;2.618374906502613e+20;3.296927612460262e+01;NaN;1.351774617253918e+03
6.161914304398897e-01;2.370154038317530e+18;2.641320440741248e+01;NaN;3.046769972076246e+20;3.206885396170276e+01;NaN;1.284443981440114e+03
6.218569781585004e-01;0.000000000000000e+00;NaN;NaN;3.044202963706103e+20;3.481073475547498e+01;NaN;1.516977607452508e+03
6.288824188932652e-01;1.809685635146159e+18;2.435363416301140e+01;NaN;3.654567330736323e+20;3.203552299693024e+01;NaN;1.542611618367241e+03
6.393962018996865e-01;6.460876971464708e+18;1.478061122449733e+01;NaN;3.161461088765671e+20;3.271232914036353e+01;NaN;1.426070415237138e+03
6.444895360993572e-01;0.000000000000000e+00;NaN;NaN;3.673588075301825e+19;3.983565564646722e+01;NaN;9.290903378513468e+02
6.495423367435241e-01;1.147539162771227e+19;1.590988101207667e+01;NaN;3.361451765306863e+20;3.264924494420487e+01;NaN;1.526313913383498e+03
6.590094051627661e-01;1.313968934817221e+19;2.245738882204850e+01;NaN;3.496044006609073e+20;3.154807522037473e+01;NaN;1.586578661682048e+03
6.645936879182079e-01;1.677077319665888e+19;1.984976186668782e+01;NaN;4.272687106604148e+20;3.649834508655058e+01;NaN;1.620612753762447e+03
6.695918273105915e-01;3.705755902998428e+19;3.043781326768819e+01;NaN;3.636722583837760e+20;3.352998563732618e+01;NaN;1.794743692328379e+03
6.783145662683023e-01;5.311529507480989e+19;2.649245357650667e+01;NaN;4.415657763811679e+20;2.991495425447421e+01;NaN;2.075678972817036e+03
6.834175308061823e-01;0.000000000000000e+00;NaN;NaN;3.301053667974340e+20;3.300831832582398e+01;NaN;2.377482712144965e+03
6.881026229062193e-01;7.730458497465475e+19;3.352702429930039e+01;NaN;4.677226057559411e+20;2.899218584159929e+01;NaN;2.496871888246672e+03
6.957997358524409e-01;1.192772833991159e+20;2.932732929785046e+01;NaN;5.087174292581521e+20;2.882214272157366e+01;NaN;2.382267442636553e+03
6.999294065045440e-01;2.550968608297301e+20;3.351732373092082e+01;NaN;5.589238007719111e+20;2.864809664359351e+01;NaN;3.727370614722079e+03
7.046036503701563e-01;2.713642431819314e+20;3.552085500289588e+01;NaN;4.919640562708084e+20;2.886532321277176e+01;NaN;3.720786013289862e+03
7.104451952030111e-01;2.903120619017037e+20;3.288163438206689e+01;NaN;5.703015196978515e+20;3.233074594126383e+01;NaN;4.249887173171200e+03
