s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
5.713959183633919e-01;0.000000000000000e+00;NaN;NaN;7.180051783471830e+20;2.114556504754421e+01;NaN;4.360922172223690e+03
5.741881384659409e-01;0.000000000000000e+00;NaN;NaN;8.568024042855705e+20;3.003902299401891e+01;NaN;4.771776504088548e+03
5.788294445512920e-01;0.000000000000000e+00;NaN;NaN;1.047321983087261e+21;2.976921991403000e+01;NaN;5.887274976280506e+03
5.844813744780388e-01;0.000000000000000e+00;NaN;NaN;1.107209974072211e+21;2.800147499956268e+01;NaN;5.543763156570799e+03
5.895001350316618e-01;0.000000000000000e+00;NaN;NaN;5.157610230275651e+20;3.887457699784029e+01;NaN;2.369907273237530e+03
5.958303396743118e-01;0.000000000000000e+00;NaN;NaN;5.201031952968627e+20;4.343122599292984e+01;NaN;2.410143040975709e+03
6.059607146042290e-01;3.494953512968987e+18;3.891540513897167e+01;NaN;5.730811483851456e+20;3.278586101622631e+01;NaN;2.075414612460354e+03
6.161914304398897e-01;0.000000000000000e+00;NaN;NaN;6.079815775116802e+20;3.589473442546024e+01;NaN;2.545409761310054e+03
6.218569781585004e-01;2.505549095254551e+19;2.121991042579648e+01;NaN;5.050488640469002e+20;3.906498716329399e+01;NaN;2.397496596609303e+03
6.288824188932652e-01;5.342943756344317e+18;2.483413349886246e+01;NaN;6.468584217131182e+20;3.669029529061351e+01;NaN;2.624728994174835e+03
6.393962018996865e-01;1.055025097637946e+19;2.206230963841380e+01;NaN;6.141007552400152e+20;3.194343340285320e+01;NaN;2.717820206275513e+03
6.444895360993572e-01;0.000000000000000e+00;NaN;NaN;5.643479981534581e+20;2.491519038333960e+01;NaN;2.411609484254071e+03
6.495423367435241e-01;3.016359394349771e+19;3.289467629562252e+01;NaN;5.586747705632946e+20;3.252172969916774e+01;NaN;2.458709862573045e+03
6.590094051627661e-01;4.658923539349234e+19;2.856042017889602e+01;NaN;6.452137685594240e+20;2.916909569967416e+01;NaN;2.575856380895848e+03
6.645936879182079e-01;5.505148575861401e+19;3.352958312249422e+01;NaN;7.855642253208625e+20;4.299169241412798e+01;NaN;3.696009460204382e+03
6.695918273105915e-01;1.328916517766216e+20;2.929412349004608e+01;NaN;7.680997866529149e+20;2.660494875657474e+01;NaN;3.135495143604213e+03
6.783145662683023e-01;1.113785878900421e+20;2.842360208000555e+01;NaN;8.802853125552507e+20;2.967917402351984e+01;NaN;3.594432321789735e+03
6.834175308061823e-01;8.559582890049469e+19;5.032369362579595e+01;NaN;8.124298520798513e+20;1.927645751148923e+01;NaN;3.327917734673485e+03
6.881026229062193e-01;2.676070839728553e+20;3.226893012624704e+01;NaN;8.913913814590204e+20;3.142219317361176e+01;NaN;4.685675833930060e+03
6.957997358524409e-01;2.552764168463418e+20;3.741288370767962e+01;NaN;9.154018532863784e+20;2.882203861633111e+01;NaN;4.534609947003274e+03
6.999294065045440e-01;4.271150977320031e+20;3.472800032490555e+01;NaN;7.024065550082161e+20;3.196062903744288e+01;NaN;6.756011403326148e+03
7.046036503701563e-01;5.721374369124401e+20;3.702699069006620e+01;NaN;1.136062367708116e+21;2.792828812594476e+01;NaN;7.419107286310359e+03
7.104451952030111e-01;4.847763981687205e+20;3.774982016579798e+01;NaN;1.206827263255153e+21;2.734948489988702e+01;NaN;7.726325479889507e+03
7.138966885644596e-01;1.254390405819415e+21;3.771653240695323e+01;NaN;1.167533747749216e+21;3.059578370030710e+01;NaN;1.192349328899794e+04
7.182432415040987e-01;1.330200393638659e+21;4.081090168822559e+01;NaN;1.354145210912099e+21;2.922306508352347e+01;NaN;1.203747499783201e+04
7.227039321185542e-01;9.320031547719930e+20;4.293552299384423e+01;NaN;1.580911475866387e+21;2.787160836816045e+01;NaN;1.326291344679891e+04
7.257217095519308e-01;2.489623603878876e+21;4.223392580845382e+01;NaN;1.643724125409870e+21;2.241749414043553e+01;NaN;1.989489267663065e+04
7.309124404001006e-01;2.184665452326864e+21;4.272319008849335e+01;NaN;1.663994881602301e+21;3.022452637175070e+01;NaN;2.081044651218620e+04
7.392767341320698e-01;3.553144902176143e+21;4.333297004497657e+01;NaN;2.154064551457146e+21;2.655134252035399e+01;NaN;3.417833778197991e+04
7.476580380599591e-01;5.964296288831325e+21;4.517799769401117e+01;NaN;2.673434336854470e+21;2.593779611646611e+01;NaN;5.176579621354549e+04
7.547028537389382e-01;8.948763790787943e+21;4.521662143136567e+01;NaN;3.637713415625623e+21;2.348486427385938e+01;NaN;7.180603835048225e+04
7.606597497237264e-01;1.147109970717654e+22;4.690286715077679e+01;NaN;4.451488606208301e+21;2.324688850197265e+01;NaN;9.611592806781035e+04
7.657531186515272e-01;1.346501364239647e+22;4.595605732331499e+01;NaN;5.416233602988732e+21;2.294332278663874e+01;NaN;1.139433006964525e+05
7.699995984224914e-01;1.686825428240057e+22;4.609370663789167e+01;NaN;6.202252213965066e+21;2.338340635110751e+01;NaN;1.363677007210070e+05
7.732995875768670e-01;1.968152001040981e+22;4.583232977698850e+01;NaN;6.605174968541748e+21;2.335828193575960e+01;NaN;1.595582842347189e+05
7.757792307381750e-01;2.087757391963350e+22;4.586039246522162e+01;NaN;7.497255741784712e+21;2.331594548928764e+01;NaN;1.727423895181383e+05
7.781651986040994e-01;2.253082293598357e+22;4.488282051654299e+01;NaN;8.045596965984672e+21;2.365558223273892e+01;NaN;1.847105391227616e+05
7.809578364250076e-01;2.464425402902355e+22;4.594755078424286e+01;NaN;8.529286052949797e+21;2.282920323932131e+01;NaN;1.898323709706974e+05
7.838487328758749e-01;2.531038056240137e+22;4.514796630940732e+01;NaN;9.843867319339365e+21;2.171134991924398e+01;NaN;2.128699709418781e+05
7.869855628995210e-01;2.667098308024966e+22;4.548320910290634e+01;NaN;1.045544653529774e+22;2.303742246520472e+01;NaN;2.227253480146799e+05
7.904037845192172e-01;2.947417952747423e+22;4.638630865048092e+01;NaN;1.126160769415193e+22;2.320002768878953e+01;NaN;2.402299631348384e+05
7.939471374889502e-01;3.088709246700403e+22;4.678790506686792e+01;NaN;1.195582165564047e+22;2.268334280990259e+01;NaN;2.546170093477384e+05
7.975090120093709e-01;3.473637831697502e+22;4.709558937434182e+01;NaN;1.314260484492795e+22;2.370147118351747e+01;NaN;2.920596956136407e+05
8.011264668496416e-01;3.658808055176189e+22;4.681895662438023e+01;NaN;1.471169896242860e+22;2.268377022029719e+01;NaN;3.204963485153308e+05
8.049890280430786e-01;3.732403508711420e+22;4.833172300385213e+01;NaN;1.449223849415177e+22;2.291796776475258e+01;NaN;3.308345254923127e+05
8.091930285177138e-01;3.748145215164145e+22;5.114794025349599e+01;NaN;1.548066932570575e+22;2.229726644516568e+01;NaN;3.455125226187191e+05
8.136823963570012e-01;3.899629740062023e+22;5.444641085199662e+01;NaN;1.522566130114896e+22;2.292757840648196e+01;NaN;3.848605800600842e+05
8.183225076652748e-01;3.942074315905837e+22;5.785809292609073e+01;NaN;1.396864265014399e+22;2.279499526619209e+01;NaN;4.023894514565055e+05
8.231650781773978e-01;3.765472796045622e+22;6.055307559176169e+01;NaN;1.189282906312610e+22;2.192345599410361e+01;NaN;4.024671953864360e+05
8.282210739282279e-01;2.899148280784798e+22;6.011285666360704e+01;NaN;9.265316028112510e+21;2.258579292200724e+01;NaN;3.066890515469215e+05
8.323762231342043e-01;1.919055831322116e+22;5.369592324237171e+01;NaN;6.991266696696430e+21;2.342032231676945e+01;NaN;1.868305990495092e+05
8.360874887662642e-01;1.155042833157968e+22;4.748097512370226e+01;NaN;5.286017629578075e+21;2.593301867570999e+01;NaN;1.068437187607169e+05
8.416142959085945e-01;5.103488315793030e+21;3.971890133614514e+01;NaN;3.658593820631401e+21;2.602461914792850e+01;NaN;4.873848627554579e+04
8.488421547521909e-01;2.075947207222629e+21;3.156599805977400e+01;NaN;2.811766638546058e+21;2.489315731966334e+01;NaN;2.285070541863338e+04
8.530832353991449e-01;2.288364306449463e+21;3.018176126432197e+01;NaN;2.293874777994635e+21;1.894941679994392e+01;NaN;2.072275953539142e+04
8.537918099392514e-01;0.000000000000000e+00;NaN;NaN;2.625912968138114e+21;2.181146293570398e+01;NaN;9.820878330147814e+03
8.543706180516218e-01;0.000000000000000e+00;NaN;NaN;3.172986494748074e+21;1.955380815597351e+01;NaN;1.032667009824731e+04
8.550434808720584e-01;0.000000000000000e+00;NaN;NaN;2.222756849654842e+21;3.174984553498811e+01;NaN;1.013598989717803e+04
8.559044499777996e-01;9.752961883530331e+20;2.371488917382956e+01;NaN;2.557326852335778e+21;2.712594394876779e+01;NaN;1.409592944766805e+04
8.569551541338385e-01;8.841622074102982e+20;2.288785989234444e+01;NaN;1.989091137640262e+21;2.124101859140017e+01;NaN;1.262337574326296e+04
8.582075262577280e-01;7.976253317851458e+20;2.409726626620100e+01;NaN;2.524614556038559e+21;2.615127190661293e+01;NaN;1.413856308594183e+04
8.596643101019401e-01;7.952861214856310e+20;2.729852781997219e+01;NaN;2.201607618194839e+21;2.002559993163118e+01;NaN;1.182177606519830e+04
8.613151559701813e-01;8.346467107417508e+20;2.501968355423721e+01;NaN;2.043845735797507e+21;2.525813394209278e+01;NaN;1.271859993122129e+04
8.631559751823854e-01;7.907650153938338e+20;2.561575146499505e+01;NaN;2.444253925655513e+21;2.360876538865882e+01;NaN;1.376232938187476e+04
8.643120462552596e-01;6.040015057815950e+20;1.914367815289751e+01;NaN;1.708158449854588e+21;2.590526667617437e+01;NaN;1.324490953526199e+04
8.653908978391460e-01;0.000000000000000e+00;NaN;NaN;1.945229737940799e+21;2.502187637181235e+01;NaN;7.768899456809656e+03
8.674616531641819e-01;6.376343861602849e+19;1.513230817646355e+01;NaN;2.069684105024654e+21;1.956270415633982e+01;NaN;8.319107138389902e+03
8.699368000939727e-01;1.744494369248626e+20;1.708345212223903e+01;NaN;2.064448526647074e+21;2.637063086056617e+01;NaN;9.888660725584554e+03
8.726216089107878e-01;2.093439858139416e+20;2.353440714481650e+01;NaN;2.090788578182300e+21;2.200376843845200e+01;NaN;8.354211983757725e+03
8.754815177208104e-01;2.298591597468487e+20;1.543407307967555e+01;NaN;1.936676269439969e+21;2.129349845120581e+01;NaN;7.886319375006041e+03
8.785184466314446e-01;1.192527257454242e+20;2.089213163536709e+01;NaN;2.241885211237584e+21;2.027178178990386e+01;NaN;8.417010783517026e+03
8.817372620113471e-01;1.354604229386526e+20;2.001459774573700e+01;NaN;2.195037741133448e+21;1.917058132685445e+01;NaN;7.990349939851158e+03
8.851361317880917e-01;1.188553253052776e+20;2.134058364574939e+01;NaN;2.148823525217555e+21;2.113995380698356e+01;NaN;8.256463851939021e+03
8.887052867231831e-01;0.000000000000000e+00;NaN;NaN;2.240201040071062e+21;2.108743610755374e+01;NaN;7.642345607674905e+03
8.922111715285719e-01;0.000000000000000e+00;NaN;NaN;2.148853959646645e+21;1.724979455878994e+01;NaN;7.065923263547216e+03
8.955286998316494e-01;1.358249677844481e+20;1.888983491995986e+01;NaN;2.176835340752880e+21;1.924504117610181e+01;NaN;8.276783291109370e+03
8.987110512479717e-01;1.442082056217932e+20;1.916530241594143e+01;NaN;2.070291653404113e+21;1.976133068517650e+01;NaN;8.127902339967352e+03
9.017134577537624e-01;2.545376485804255e+20;2.052301475782825e+01;NaN;2.157347888816041e+21;1.923954599776518e+01;NaN;7.965893195262620e+03
9.045417800860878e-01;2.302526958944588e+20;1.857248888227432e+01;NaN;2.206785356110796e+21;1.922702752044259e+01;NaN;8.084964109985097e+03
9.071870742459989e-01;1.343934980954071e+20;1.554646292284021e+01;NaN;2.141124757737771e+21;1.922243283873685e+01;NaN;8.263791817085417e+03
9.096370888557709e-01;2.230455939648711e+20;1.904306030678645e+01;NaN;2.296422021846713e+21;1.876514444321819e+01;NaN;8.217139720343066e+03
9.119216938704540e-01;1.407316384268747e+20;2.082273913977399e+01;NaN;1.933344886751689e+21;1.999030396311555e+01;NaN;8.333719475645734e+03
9.140436229255003e-01;0.000000000000000e+00;NaN;NaN;2.374129906998499e+21;1.989764718494681e+01;NaN;8.428076967200885e+03
9.154064921513623e-01;0.000000000000000e+00;NaN;NaN;2.344933671450940e+21;2.262508517143396e+01;NaN;9.291158654723113e+03
9.163338047628065e-01;1.029845030064428e+21;2.061905557047426e+01;NaN;2.611634943108890e+21;2.449184918025088e+01;NaN;1.422868405784899e+04
9.176835005562980e-01;9.319398649582184e+20;2.431461239622734e+01;NaN;2.361687698250372e+21;2.081980966202205e+01;NaN;1.347145954639355e+04
9.191258995390217e-01;1.030544171550033e+21;2.368746599966545e+01;NaN;2.196405259323950e+21;2.513780870936591e+01;NaN;1.415006195471043e+04
9.203935362301501e-01;9.260860090942673e+20;2.753620203569764e+01;NaN;2.407372090365299e+21;2.061917210155953e+01;NaN;1.298605698205203e+04
9.215002083895940e-01;7.187051034182669e+20;2.369594426467003e+01;NaN;2.251837278326481e+21;2.450554646302702e+01;NaN;1.409183015712104e+04
9.224442009648133e-01;1.087960911487303e+21;2.510471183695659e+01;NaN;2.431720721827460e+21;2.424881921444243e+01;NaN;1.451766940714619e+04
9.232251631697683e-01;1.140805796053427e+21;2.734207791158465e+01;NaN;3.084551933674471e+21;2.103160101322971e+01;NaN;1.424233384226613e+04
9.238357492380214e-01;0.000000000000000e+00;NaN;NaN;3.103856695762964e+21;2.319025254954083e+01;NaN;1.146538367090166e+04
9.242697664149448e-01;0.000000000000000e+00;NaN;NaN;2.911651234868985e+21;2.112178881931131e+01;NaN;1.003419075539564e+04
9.245475004113730e-01;0.000000000000000e+00;NaN;NaN;3.273800497011946e+21;2.801358880622140e+01;NaN;1.223287478421266e+04
9.284488689588918e-01;2.384364489864082e+21;2.997176030023790e+01;NaN;3.053378044392517e+21;2.406064677908365e+01;NaN;2.422492054935751e+04
9.352312804634425e-01;5.589806480298062e+21;3.742402970086452e+01;NaN;3.926732461658373e+21;2.310189123412525e+01;NaN;4.957105527058199e+04
9.402261310142657e-01;1.186004821747621e+22;4.504476675279182e+01;NaN;5.195564783329753e+21;2.485633937679844e+01;NaN;1.063935811021696e+05
9.438296359310472e-01;1.989795227955138e+22;5.147891680940649e+01;NaN;6.804137529203320e+21;2.145078816462821e+01;NaN;1.826015860538700e+05
9.477096947575977e-01;3.313736030425291e+22;5.874959800681279e+01;NaN;9.748339282474713e+21;2.035987084131638e+01;NaN;3.296695885653042e+05
9.521916256062684e-01;4.306492980232468e+22;6.045758778356624e+01;NaN;1.259046639019194e+22;1.982076824759392e+01;NaN;4.459601742497538e+05
9.564481634798810e-01;4.475717502130360e+22;5.837706196226560e+01;NaN;1.337358077232258e+22;2.006389243667877e+01;NaN;4.662139476215040e+05
9.606991407803525e-01;4.181213068410887e+22;5.539612026854918e+01;NaN;1.418044313316045e+22;2.075944953499633e+01;NaN;4.136794014745409e+05
9.649498118263933e-01;4.182503803024619e+22;5.257356231098510e+01;NaN;1.541209846049438e+22;2.034781733211803e+01;NaN;3.969673016092555e+05
9.688494253851441e-01;3.984110299369706e+22;5.018865518505137e+01;NaN;1.526569502825183e+22;2.038147030937158e+01;NaN;3.811820702378683e+05
9.724376765229517e-01;4.071547302210591e+22;4.787458599027897e+01;NaN;1.582637075197596e+22;1.977302659081094e+01;NaN;3.647142142507872e+05
9.758454759663759e-01;4.099252959231774e+22;4.610725159947518e+01;NaN;1.582877451663126e+22;1.992527161825759e+01;NaN;3.341011843192643e+05
9.790472469651365e-01;3.929143860490909e+22;4.496755513159330e+01;NaN;1.560776651925264e+22;1.895132183894254e+01;NaN;3.195090534226410e+05
9.821062688323220e-01;3.714488609796614e+22;4.413401702793732e+01;NaN;1.466367721935389e+22;1.910622244532695e+01;NaN;2.987604096573777e+05
9.850993436211724e-01;3.378468926338992e+22;4.341728826717486e+01;NaN;1.364517111882348e+22;2.068131565569629e+01;NaN;2.805941586347697e+05
9.880059697726713e-01;3.210244181046895e+22;4.333470491393734e+01;NaN;1.319108550502086e+22;1.874761778273059e+01;NaN;2.501524277403979e+05
9.908165089685672e-01;2.915150955491775e+22;4.168700593521121e+01;NaN;1.167057317357888e+22;1.962119870300618e+01;NaN;2.367684604813876e+05
9.935047455450641e-01;2.597112555249979e+22;4.230235340984522e+01;NaN;1.182811911689033e+22;1.891346798998325e+01;NaN;2.227127478382465e+05
9.955037774448198e-01;2.439760357677108e+22;4.149210736686930e+01;NaN;1.042877253261640e+22;1.945426428505494e+01;NaN;2.034138082701514e+05
9.967416256848396e-01;2.610971785095934e+22;4.086843919937547e+01;NaN;1.120746130013812e+22;1.797232104269701e+01;NaN;1.949765179936475e+05
9.985886656682763e-01;2.357374028773496e+22;4.092794214877373e+01;NaN;1.009169526060847e+22;1.859014483239994e+01;NaN;1.879122632953562e+05
1.001246887649901e+00;2.147459819267215e+22;4.044354653459662e+01;NaN;9.402863585256883e+21;1.863221222144909e+01;NaN;1.709026410420180e+05
1.003996038856501e+00;2.038992890050484e+22;4.065774382331448e+01;NaN;9.525917240947577e+21;1.842668286353502e+01;NaN;1.603694812208399e+05
1.006897629175445e+00;1.922488539189796e+22;3.967066034318655e+01;NaN;8.488906359464819e+21;1.772224810374598e+01;NaN;1.406386203855269e+05
1.010015292564127e+00;1.708455364267208e+22;3.909509783181415e+01;NaN;8.022177709847151e+21;1.812720889946169e+01;NaN;1.266583039478146e+05
1.013360988667060e+00;1.425238570465788e+22;3.840992262840467e+01;NaN;7.533938727065047e+21;1.745241993140794e+01;NaN;1.146106969252225e+05
1.016422055308300e+00;1.299694316798469e+22;3.746049978180758e+01;NaN;6.783714682796848e+21;1.731519623547062e+01;NaN;9.490506068429159e+04
1.018208688761510e+00;1.358955880481311e+22;3.774184571174953e+01;NaN;6.298843249585788e+21;1.688682667134631e+01;NaN;9.710865314246168e+04
1.020406499924258e+00;1.108047157447017e+22;3.656042722912705e+01;NaN;6.109496989755112e+21;1.661593843397870e+01;NaN;8.586853462916004e+04
1.022271080706159e+00;1.509105559919192e+22;3.514283936998547e+01;NaN;7.177046020946663e+21;1.740723568838498e+01;NaN;8.263743685592122e+04
1.024352262275292e+00;1.055844119822090e+22;3.541065446091346e+01;NaN;5.466625060637242e+21;1.659888179645887e+01;NaN;7.419962332622244e+04
1.026360795729067e+00;1.105936149098443e+22;3.670038054892903e+01;NaN;4.732723370288913e+21;1.583506355576082e+01;NaN;6.433247585522477e+04
1.028516562606399e+00;8.692757244086666e+21;3.434168891206502e+01;NaN;5.174045736395389e+21;1.707387840662138e+01;NaN;6.260319361899787e+04
1.030872721695724e+00;6.574094134241059e+21;3.262835654380111e+01;NaN;4.937065151306594e+21;1.509932168948028e+01;NaN;5.831476157106500e+04
1.032946039400920e+00;7.276759032043464e+21;3.374449978779119e+01;NaN;5.028554128129936e+21;1.599040688475386e+01;NaN;5.247208608676456e+04
1.035702904828173e+00;5.738390561165992e+21;3.252988155059091e+01;NaN;4.443296727523722e+21;1.471607659634460e+01;NaN;4.179566019358464e+04
1.038018852774941e+00;5.394486249900783e+21;3.320679170577626e+01;NaN;4.329343868620592e+21;1.670485394778287e+01;NaN;4.137201863537014e+04
1.041123812734894e+00;3.821479668415442e+21;3.337890879608765e+01;NaN;3.996584368792623e+21;1.491805151851519e+01;NaN;3.014234975714574e+04
1.043526328654386e+00;4.151186983392244e+21;3.230511345849123e+01;NaN;3.959512920804163e+21;1.656769052630854e+01;NaN;3.137549644318077e+04
1.046841369894959e+00;1.427663294744774e+21;2.876486618456543e+01;NaN;3.669182932925972e+21;1.543391011376479e+01;NaN;1.500333546467251e+04
1.049616924720746e+00;4.232687084697380e+20;2.587515294781695e+01;NaN;4.025187746549971e+21;1.619597256859895e+01;NaN;8.564039170049000e+03
1.052286039138213e+00;5.882116155094362e+20;2.185871245788367e+01;NaN;3.416112046962556e+21;1.723173652597113e+01;NaN;8.716221582989010e+03
1.055988626941788e+00;2.313526095397221e+20;1.686253661599882e+01;NaN;3.217817394296714e+21;1.592373056078938e+01;NaN;6.459464454232625e+03
