t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-15488.530762723662,8015921076.286492,2.3054402577918136e+16,32706662648.45313,32953498926.475964,2.97676907448835e+18,1195535.292340696,1460174358.8344986,2.999789834328517e+18,33695496395163.547,14362905112.507704
220000.0,-152259.14795887482,6735359389.377518,2.8116332903469996e+16,378632483124.0871,402471573574.4502,5.351103544899753e+18,13864741.356171785,18133295516.09862,5.378839571096761e+18,380914133948050.6,191823745218.49533
364000.0,-677935.2060422798,6179980412.497057,3.0995229032444948e+16,2046716326840.5295,2282099960618.623,7.76158693474552e+18,75088481.5707695,104541366698.45663,7.790555620396726e+18,2029817468551318.5,1159345455558.5698
536800.0,-1913071.118065864,5859848843.585576,3.3096234919398996e+16,7191949639243.068,8348824642184.039,1.0352554327714691e+19,264382557.51819095,388743023850.7094,1.0378581026432289e+19,7081044615782176.0,4421367770878.066
744160.0,-3991511.318251012,5640250265.137815,3.480707358349286e+16,19027031431727.73,22816849574431.42,1.3208974658487036e+19,700926818.3288492,1079473414754.4396,1.3225116218877663e+19,1.869606346757899e+16,12373780613018.873
992992.0,-6757859.386027734,5467165769.918602,3.628828955555815e+16,41240624554178.914,50720237596726.695,1.6402770223056509e+19,1522595038.8427458,2437224042777.671,1.639853083349668e+19,4.059429254332812e+16,27786180712989.566
1291590.4,-9889145.79852429,5316725249.116114,3.762311178084607e+16,77323631309305.58,96933754812913.92,2.0005218383225844e+19,2861336011.6105547,4729482181762.418,1.9966525974047883e+19,7.644138905937803e+16,53121629111201.1
1649908.48,-13083558.95505083,5178870195.134473,3.886230851897346e+16,130141243474345.1,165481914761646.12,2.4091660548698653e+19,4827336979.7943,8196345181737.329,2.4001306440661496e+19,1.2943008733016909e+17,90153556456267.39
2079890.176,-16165765.329067811,5049813620.076597,4.00412476449675e+16,201816594973220.0,259315303498438.12,2.874338873928317e+19,7504536578.699119,13037124011557.84,2.8581632059918406e+19,2.0213207346397568e+17,140030072831834.6
2595868.2112,-19088908.50104444,4927918393.137389,4.11870817002343e+16,293809231645531.75,380410899062075.25,3.4048008086326096e+19,10953328573.637985,19412979896576.875,3.3793147302510666e+19,2.9653787864594e+17,203630933799524.16
3215041.8534399997,-21885215.038060647,4811595897.323396,4.232166958089848e+16,407035836521416.25,529961961272565.56,4.009876687724296e+19,15214905932.036814,27455112295685.1,3.972761096188474e+19,4.1416008837617926e+17,281964687988334.9
3958050.2241279995,-24612925.558656994,4698579802.147822,4.346251341006913e+16,541924980917449.56,708483647334119.0,4.69931648974756e+19,20313252057.39961,37269941788359.64,4.648143199397534e+19,5.561066994535729e+17,376416340333052.25
4849660.268953599,-27320162.568742447,4586015824.601151,4.462282781509703e+16,698362928811446.5,915763464663616.1,5.483113518973105e+19,26253137998.992218,48937176190762.03,5.4153846730326835e+19,7.230856066609508e+17,488770380924296.0
5919592.322744318,-30027506.174027793,4470858274.915079,4.581131302537168e+16,875547404773172.1,1150677475240783.8,6.371314975131675e+19,33014665872.288948,62500928230367.27,6.284507872400404e+19,9.153500729987686e+17,621026162420904.6
7203510.787293182,-32723995.412795052,4350221106.063728,4.703192011434474e+16,1071810346767078.4,1410957073049139.5,7.373871715984994e+19,40546527049.10967,77957239957537.48,7.265490836196047e+19,1.1326264227774575e+18,775060433041809.9
8744212.944751818,-35370863.21191238,4221550345.5455656,4.828378954718207e+16,1284493524023089.8,1693022328713512.0,8.500588297999984e+19,48761017133.54756,95243176567707.56,8.368221151583237e+19,1.374075882779721e+18,952178724987286.0
10593055.53370218,-37909122.82702913,4082660102.572648,4.956153200223691e+16,1509959351970565.5,1991994628157481.2,9.761241197358047e+19,57533849530.55102,114232972353794.22,9.60261023866872e+19,1.638334797627552e+18,1152565753168189.0
