t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-0.0025622548604026323,9476592016.672033,2.0212004519662736e+16,7362.811939726282,6104.367889997305,5.153951965002166e+18,0.3166206393519398,472.2877219964242,5.174163969815272e+18,-293908318.74525887,482476.5007553957
220000.0,-0.13457153484109383,8129410685.312695,2.6017539328509976e+16,415696.1555520551,367350.0393863116,8.883625530227069e+18,18.20878922941971,30448.93067084311,8.909643069519807e+18,34939295.39084546,1679441.4107495863
364000.0,1.1123905381146708,7403097068.522316,2.9561946065281692e+16,-3600044.6037960863,-3207626.9168026666,1.2529139094767243e+19,-155.92049897159364,-256991.51123835408,1.2558701059036957e+19,-18223492317.54778,12084385.72708303
536800.0,23.64765573657817,6895298846.232564,3.223277919548237e+16,-89641419.07374595,-87101099.95749177,1.635613891962023e+19,-3918.5031586854157,-7306748.3344722185,1.6388372015436386e+19,-316972043266.03613,167429208.04100084
744160.0,26.184573468987146,6507619460.736726,3.4448469935166428e+16,-165855027.91984567,-177932919.6446583,2.05027130718068e+19,-7299.297823399796,-15712235.185344337,2.0537161649309024e+19,-108315297247.28754,388778847.73629856
992992.0,-1063.4363306616215,6200410698.2620535,3.6388908774302856e+16,4687075903.989548,4956081020.951689,2.507557322384493e+19,205281.98812399534,421519689.49020004,2.511194124223113e+19,20905681964748.906,-5228972968.026649
1291590.4,-8699.721748198503,5951748931.014924,3.814755317523334e+16,47532720535.04227,52757839129.26107,3.017519819049806e+19,2086267.3355984255,4570580100.26282,3.0213157051382444e+19,188848680935304.66,-51526978040.051056
1649908.48,-38350.454267666464,5747337660.277991,3.977906371570047e+16,256037349940.32166,294916614148.3723,3.5905925164294554e+19,11255699.575256199,25893191787.819817,3.594473120836302e+19,973853435731903.4,-256929845069.26306
2079890.176,-119420.74765415021,5576987272.78581,4.1318125151244536e+16,979861918209.1266,1162939686254.6191,4.238153161057689e+19,43139931.23705271,103316928517.28929,4.241921227162724e+19,3640624430156424.0,-914167686040.3752
2595868.2112,-292389.3794135242,5432751164.574656,4.278811874390161e+16,2965934720714.1226,3605739079237.9395,4.972926469359985e+19,130772425.7291235,323869294322.2664,4.9761195194290315e+19,1.0867123308254444e+16,-2609580747750.392
3215041.8534399997,-598998.124069089,5307821458.50668,4.420560566872478e+16,7533099413388.532,9334530345382.004,5.809337865125693e+19,332644227.93748933,847216591058.7554,5.811025382881317e+19,2.735449984387609e+16,-6356552096310.912
3958050.2241279995,-1071472.3229916545,5196112026.180795,4.558290331806346e+16,16687436258096.094,20989556523669.02,6.763862814143573e+19,738021204.1255444,1924333652178.1355,6.762408461993154e+19,6.017974317144952e+16,-13716284239139.904
4849660.268953599,-1727425.6706221218,5092376583.764716,4.692977418596161e+16,33143381714881.277,42174105618488.914,7.855389770037317e+19,1468170912.957285,3904910219275.382,7.848225402229095e+19,1.1867952563424762e+17,-26849500589326.35
5919592.322744318,-2572336.2165872864,4992550828.177463,4.825474968665168e+16,60254484180941.5,77358478201057.9,9.105593639932251e+19,2673636906.3664923,7233177443617.835,9.089060133016954e+19,2.1378307483874182e+17,-48407185560417.15
7203510.787293182,-3606544.320767281,4894002467.741069,4.956635961034824e+16,101885451911824.69,131699586394538.11,1.0539288710947868e+20,4528931765.2653675,12435974426052.133,1.0508589918401043e+20,3.568814665413636e+17,-81155921391146.5
8744212.944751818,-4832249.144452785,4795488649.965849,5.0874340929367336e+16,162262062449695.88,210830382287935.97,1.21846909318561e+20,7226256725.8547125,20108028139963.83,1.2133983465420022e+20,5.584694757302428e+17,-127262740748982.84
10593055.53370218,-6257409.578417072,4696773394.190644,5.219070767343806e+16,245820493083712.2,320651730181125.6,1.4073474792626943e+20,10969216283.172142,30897792506825.71,1.3996085685739702e+20,8.268663897495875e+17,-187232217646778.94
