t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-3.4290363239565954e-26,94758176.75824222,12432214371133.174,4.084214080694761e-17,4.582933062701713e-18,2.6479246383966316e+18,3.941585168502541e-21,5.044375942821726e-18,2.6479370706110177e+18,-2.67918643906288e-10,1.698773580597343e-14
220000.0,-4.744168509367194e-25,83779385.13420832,19002361936918.734,2.2209475591361986e-16,3.236026115021377e-17,4.06721095071221e+18,2.146101984557387e-20,3.601084700784528e-17,4.067229953074183e+18,-1.214506385947676e-10,1.6686272201303217e-13
364000.0,8.751887688659627e-25,80957835.97840254,24703709780312.27,-8.710059065250905e-16,-1.0667284324240355e-16,5.312981535375355e+18,-8.399277005376444e-20,-1.17081576215196e-16,5.313006239085125e+18,-1.9644416172508777e-10,3.364551681125416e-13
536800.0,4.363211560752665e-24,79292904.72318465,30105296953823.844,-7.10341689395502e-17,-8.603669765387023e-17,6.507196579601833e+18,-7.368904778738302e-21,-1.0143080107858906e-16,6.507226684898797e+18,3.716440979260016e-10,-1.9869243762469872e-13
744160.0,-1.641863884551234e-23,78017393.0977012,35457195426343.1,3.9785022448620454e-15,7.159016051322971e-16,7.70407810228667e+18,3.850256998388493e-19,8.052348247029658e-16,7.704113559482028e+18,-2.003098727538006e-09,5.402721562401069e-13
992992.0,5.752998102163076e-24,76930321.71814401,40899282517001.805,-5.355994837065055e-15,-7.36415266658708e-16,8.93515982384393e+18,-5.159789257746096e-19,-7.984278325809068e-16,8.935200723126492e+18,-8.154919044623181e-09,2.3460705852632223e-12
1291590.4,3.329044990179458e-23,75949501.26570506,46524839921312.31,-2.73915521322826e-16,-4.653640406191404e-16,1.0222715901937766e+19,-3.0726414310198826e-20,-5.766797180327919e-16,1.0222762426777586e+19,-4.086637224927468e-09,6.3291710830942365e-12
1649908.48,-3.119584277140603e-22,75040698.9331023,52404704829876.43,2.496398533185108e-14,6.7250707247603355e-15,1.1584873775274947e+19,2.415892034667636e-18,7.738496606785532e-15,1.1584926179979686e+19,6.381789389077724e-09,2.477297260825692e-11
2079890.176,3.9161002892707343e-22,74199032.80615246,58597988100671.44,-4.359616323454041e-14,-9.990429234882314e-15,1.3037934084436007e+19,-4.2082093456269386e-18,-1.1243452651660475e-14,1.3037992682424046e+19,2.354601690552963e-08,6.2042025650211754e-12
2595868.2112,1.6361780951564728e-21,73434322.22662015,65157428387326.28,-5.8099128804322e-14,-2.5422587970932806e-14,1.4597588209168415e+19,-5.641582010568282e-18,-3.0403896530219227e-14,1.4597653366596751e+19,1.1563246343616402e-07,-1.5829744409036864e-10
3215041.8534399997,-3.2533321582538897e-21,72757107.21220389,72132309712429.27,1.8617550461180454e-13,5.83466342066394e-14,1.6279645545352438e+19,1.8024154118041896e-17,6.778194015758425e-14,1.6279717677662188e+19,2.028416980642722e-07,-3.757979484331904e-10
3958050.2241279995,-3.28098817934298e-21,72169563.50782907,79570148042711.33,4.587271345384755e-14,4.762996383164816e-14,1.8100523853630085e+19,4.5011274373083606e-18,6.021325541443659e-14,1.8100603423778234e+19,4.587330851139207e-08,-5.649762425149089e-10
4849660.268953599,1.0545303290351496e-20,71663013.54420261,87517699287829.67,-4.1350073488195117e-13,-1.6820730155128558e-13,2.007762013531439e+19,-4.0112994112490994e-17,-2.0071229422527584e-13,2.0077707653013324e+19,-1.4714000843555957e-07,-1.0780739620692937e-09
5919592.322744318,-1.4884751917093164e-21,71220386.78485899,96021567046526.14,1.7548295247333815e-13,1.5338992554688775e-14,2.22296223789396e+19,1.692448645709536e-17,1.002695941183622e-14,2.2229718400506802e+19,-3.435253062856622e-07,-1.5336924234370173e-09
7203510.787293182,-1.4266116284185982e-20,70820711.1551682,105128561334889.05,4.2823464976785315e-13,2.387953521700862e-13,2.4576796203240243e+19,4.166622465474516e-17,2.948583415635391e-13,2.457690133180158e+19,-1.2147149811260686e-06,-9.901002689102819e-10
8744212.944751818,1.4547590348665644e-20,70443184.46241494,114885891012177.23,-5.338903198181358e-13,-2.260795317803433e-13,2.7141266841084e+19,-5.1788956123643085e-17,-2.6998914933115537e-13,2.7141381726975185e+19,-1.560977694234096e-06,-8.292484159128265e-10
10593055.53370218,-2.7113204822317664e-21,70069497.60195172,125341229848444.02,1.520422317166584e-13,2.2508146313482125e-14,2.994730899472443e+19,1.4597747717237617e-17,1.792831468626543e-14,2.994743433595443e+19,-1.10852359539447e-06,-1.015525854748785e-09
