t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-15113.283558543882,536305645.0422716,1653257127563416.2,29847381449.340023,31359646564.740864,1.8156765238918403e+17,1033666.7612901736,1153147832.4103796,1.832009989050549e+17,19952516631618.11,20456271210.58833
220000.0,-93356.87521742695,453779392.25568545,1988088172886740.5,226662348878.04602,251312635450.39703,3.303130612548126e+17,7867026.006410239,9419736971.214422,3.321514444394609e+17,150023134654449.0,169256171413.55807
364000.0,-282625.4571091583,420623936.3721369,2175374678560820.8,869989125226.7927,1008770392239.5852,4.827759249714424e+17,30267015.569525402,38532966671.7511,4.8437803921768006e+17,574484950959328.4,692804112330.1935
536800.0,-579036.5819591596,401209127.13433963,2311271981817030.0,2308894771343.342,2773490299882.748,6.4760469297851e+17,80526968.78011917,107923876039.65134,6.483882970734296e+17,1530935862653211.2,1922413715342.282
744160.0,-929555.5165215483,386877472.59488446,2421850380391244.5,4849612012383.844,5983294737973.332,8.300480315247022e+17,169579278.83046705,237082124941.39566,8.292307745163875e+17,3246024912857771.5,4152634300739.7544
992992.0,-1275601.1142011816,374845769.44951487,2517987890161281.0,8692539134571.99,10937078699436.744,1.0345793337702011e+18,304775605.8497723,441121355966.6275,1.0312115888595173e+18,5898244733430304.0,7559111378135.921
1291590.4,-1583750.3193548825,364162133.670444,2605454648206458.0,13932828857818.021,17779885591137.65,1.2655578677051223e+18,489862459.67612535,729706063243.0193,1.2585676261658908e+18,9615940618307050.0,12198479503350.854
1649908.48,-1847481.7565287668,354439103.5514084,2687814142479128.5,20591155686544.34,26542915784833.6,1.527435319201943e+18,726018283.1470875,1108251002774.599,1.5156605211378732e+18,1.4492799136477706e+16,18056118561869.668
2079890.176,-2075120.0325216108,345410255.70485675,2767458508963412.0,28643296631486.938,37188980241225.984,1.8248078462072305e+18,1012867623.453951,1579554477384.855,1.8070136623370767e+18,2.060396082845426e+16,25094394878451.855
2595868.2112,-2278631.7716348898,336810415.49084777,2846027385411238.0,38035579411084.72,49638849575330.57,2.1624075971117842e+18,1349015327.2280784,2144825406036.8604,2.1372948861363116e+18,2.801528066585958e+16,33278298439111.777
3215041.8534399997,-2467759.827765335,328377613.1948762,2924601101551253.0,48686676239521.734,63776791911024.88,2.54507398845161e+18,1732107911.5682163,2803927577415.487,2.511286058904185e+18,3.6785221250502776e+16,42578526328903.68
3958050.2241279995,-2648315.2859801925,319879750.5623604,3003807829337106.0,60481746691820.18,79443799099768.77,2.9777281419393193e+18,2158623865.2654815,3555099615848.56,2.9338604790354463e+18,4.696199192014683e+16,52961617085526.92
4849660.268953599,-2822484.634065472,311128101.7209691,3083896805901891.5,73265600612192.33,96428460799125.14,3.465370382344589e+18,2623621567.9538126,4394509481426.767,3.409984704977933e+18,5.8579289130873896e+16,64376236203216.38
5919592.322744318,-2989752.658759184,301974729.49825275,3164799644427050.0,86840093573099.22,114463179485350.72,4.0131221304438047e+18,3120626303.2859216,5315946472564.251,3.944763190701256e+18,7.165362132802085e+16,76740399068029.22
7203510.787293182,-3147842.834843611,292304692.77580714,3246192339359641.0,100968857310715.77,133230199733634.55,4.626333839101915e+18,3641767334.2604265,6310850248813.131,4.5435452308917053e+18,8.618538357940144e+16,89930519214471.84
8744212.944751818,-3293525.8591317427,282032540.66131157,3327565933806998.0,115390260815372.53,152378727532596.66,5.31077537756053e+18,4178201364.21788,7368766348759.311,5.212109500581911e+18,1.0216481347394341e+17,103771371427418.92
10593055.53370218,-3423304.247338272,271105200.20797914,3408308118454334.0,129837309222969.38,171551387699154.03,6.072912764818192e+18,4720783671.969657,8478207121741.902,5.956930167340801e+18,1.1958275091602565e+17,118026304772475.33
