t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
50000.0,-7386.689070180499,66442655924.781906,1.5662927336019306e+17,10359078922.322836,9017246315.562263,1.3133629373632414e+19,364303.0008691269,337146603.5363115,1.3290258646992534e+19,22244227715509.65,-2758088830.9137087
105000.0,-110729.98276088592,121608917774.6661,3.5184564507281664e+17,166367314732.97253,151430102138.58365,3.6627909669929636e+19,5856575.031716175,5730419977.314245,3.6979755315002565e+19,330469070409021.75,-29758208144.532352
165500.0,-727099.4768547185,106766880206.99861,4.0678745875429485e+17,1190512640313.5127,1135608310727.5874,5.56884465525268e+19,41956924.52553912,43520571046.14988,5.6095234011281965e+19,2240758228194284.0,-112974868848.67522
232050.0,-2946935.631000153,99441214868.20145,4.4020295329089216e+17,5348454570152.329,5339818927234.333,7.40029435689783e+19,188723688.13352352,207266574797.51083,7.444314652227325e+19,9676283154950308.0,-95254900894.21075
305255.0,-8612834.026583243,94915560057.53618,4.649781800487137e+17,17597254618417.25,18326650159874.77,9.238404775517718e+19,621715598.1639562,720320222711.1083,9.284902593524017e+19,3.087885900108938e+16,899207320511.1812
385780.50000000006,-19895587.465974968,91758697552.33334,4.850876905037785e+17,46357211093415.3,50134499483048.43,1.1120791789307244e+20,1639926513.3866267,1994517018652.2654,1.1169300558361282e+20,7.930885818091438e+16,5191763920514.235
474358.5500000001,-38606661.54306164,89343049905.00034,5.0228619186806976e+17,103593726483414.89,115768238080290.72,1.3070549270688929e+20,3669498821.945071,4659351779954.461,1.3120777889883691e+20,1.731372313716677e+17,17197108276158.93
571794.4050000001,-65704201.39677438,87345956249.2457,5.1750793276253325e+17,204342352682566.84,234819675772068.84,1.510455024472028e+20,7247706705.348483,9555850422918.496,1.515630103801191e+20,3.333945854551725e+17,43886924279393.57
678973.8455000003,-101224018.89692812,85588697695.41986,5.313137913418303e+17,366030474487868.0,430584113733962.5,1.7236848733806717e+20,12999590680.62411,17707730686644.414,1.7289980112967985e+20,5.813001425647834e+17,95195170355162.77
796871.2300500004,-144538961.85460266,83970981052.91304,5.440724603424726e+17,607885693076853.9,729123821300091.9,1.9480408008356843e+20,21617528182.203403,30287859236606.03,1.9534815254434932e+20,9.354299505417074e+17,184537413800539.9
926558.3530550005,-194711699.66938186,82438373274.35907,5.5604668699758675e+17,950535896946719.6,1158543100283124.2,2.18480664972073e+20,33847569255.622124,48591990445604.805,2.1903671165974263e+20,1.409297292656804e+18,329491280723024.1
1069214.1883605006,-250758762.8339237,80963260957.06136,5.674395925445578e+17,1415738501105978.0,1748483134659572.2,2.435304365734474e+20,50480459265.884315,74021800971806.33,2.4409787616697778e+20,2.0097357365024548e+18,552513164172320.8
1226135.6071965508,-311759193.8442562,79532640327.5532,5.784218141802176e+17,2026077474647098.5,2529653162749657.5,2.7009094596043178e+20,72341744385.48149,108071073810524.62,2.7066936777600274e+20,2.736278837154389e+18,881437344080301.9
1398749.1679162062,-376829354.4372838,78140006822.64853,5.891479826293865e+17,2804438841736531.5,3533132762118906.5,2.983035892631813e+20,100274314744.1087,152304853104392.06,2.9889273724770766e+20,3.5815480528024986e+18,1349458631231395.5
1588624.0847078268,-445025381.82182026,76779952906.59975,5.997660588399259e+17,3773110006529949.0,4789206030073439.0,3.283093898320617e+20,135107898082.17293,208321709326769.84,3.2890915589342246e+20,4.53248876187738e+18,1994363813033099.5
1797486.4931786098,-515238666.54455495,75444644897.1082,6.104208961860632e+17,4952434347261647.0,6325601789110174.0,3.602426044052326e+20,177612976800.17038,277693200677583.53,3.608530253046872e+20,5.572139970119822e+18,2856949460649075.5
2027235.1424964708,-586132883.8469106,74121666053.07646,6.212526225558733e+17,6359067689199153.0,8165178098953973.0,3.9422300784593876e+20,228440569373.56268,361880683794752.56,3.948442604726412e+20,6.681530272652795e+18,3978770965676601.5
2279958.6567461183,-656145447.5396209,72792925667.62302,6.323905287745901e+17,8003993061387844.0,1.0323252430687996e+16,4.303480351319322e+20,288053075779.36304,462135616059773.4,4.3098042566587666e+20,7.841321796938412e+18,5399472932987739.0
2557954.5224207304,-723553254.6472356,71434472470.33469,6.43943787698119e+17,9890528442015732.0,1.2804898330272746e+16,4.686861421469737e+20,356654031072.99255,579393631855408.1,4.693300859410035e+20,9.032986719900895e+18,7153882320629754.0
2863749.9746628036,-786592062.1644098,70017117906.98318,6.55991116219062e+17,1.201261866478395e+16,1.5602609707087924e+16,5.092727068425596e+20,434126552356.1734,714175436987223.2,5.099286979664045e+20,1.0239512319471071e+19,9268921553958110.0
3200124.972129084,-843618598.3882515,68507774778.946266,6.685719806215749e+17,1.4353765984889368e+16,1.869481301009941e+16,5.521095060736827e+20,519992613202.4736,866511151107605.2,5.527780780633662e+20,1.1445773901092375e+19,1.176032347858024e+16
3570137.469341993,-893294534.0967723,66871362989.86978,6.816818244872991e+17,1.6886980709458044e+16,2.2045743115339996e+16,5.971682344345508e+20,613406472031.5981,1035907440516343.2,5.978499162696636e+20,1.2638785436914182e+19,1.462881207822652e+16
3977151.2162761926,-934742268.3149815,65073051146.36795,6.952729792876394e+17,1.9575994339921196e+16,2.560702639363823e+16,6.443977267414709e+20,713190898155.3578,1221370974800099.5,6.450929997330918e+20,1.380807198155596e+19,1.7855054889094036e+16
4424866.3379038125,-967615235.2683474,63080534405.28357,7.092615078425614e+17,2.2377701316845476e+16,2.9320939693526452e+16,6.937338980731608e+20,817915604160.0867,1421489335646845.0,6.944431595951933e+20,1.4946212033293214e+19,2.1394603784153732e+16
4917352.971694194,-992072650.0024587,60866040992.287994,7.235387067667626e+17,2.524562442892176e+16,3.3125046248301304e+16,7.451112566427876e+20,926012583108.1248,1634568474209133.2,7.458347953657766e+20,1.6049113109542715e+19,2.517821990556844e+16
5459088.268863614,-1008683972.6898309,58407794015.71262,7.379850862814666e+17,2.8134057215761204e+16,3.695772648620236e+16,7.984746603848187e+20,1035918818211.412,1858826445301474.5,7.99212645489509e+20,1.7115532845692279e+19,2.9121485056545508e+16
6054997.095749975,-1018273306.1928524,55690676007.79951,7.524844860058961e+17,3.1002136137776308e+16,4.0763654737977784e+16,8.537894150361847e+20,1146220840652.0842,2092615094072087.5,8.545418995429489e+20,1.8146102575691205e+19,3.3138871320614304e+16
6710496.805324974,-1021734602.953704,52705906202.33401,7.669361008894646e+17,3.3816859501539228e+16,4.449794612332272e+16,9.11047822762277e+20,1255764759048.2378,2334609185466990.0,9.11814758886416e+20,1.914256261556175e+19,3.7153997265728776e+16
7431546.485857472,-1019895102.8145219,49449753314.39567,7.812625989957339e+17,3.65545034698772e+16,4.812818423664218e+16,9.702713271284686e+20,1363710552083.0208,2583916809033540.0,9.71052589753295e+20,2.010756406136993e+19,4.110184289005883e+16
