t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,0.07069997188204416,2330880781.7264943,5431791608241211.0,-186466.4606142751,-162657.33451183216,1.1273228035011469e+18,-7.71813346737049,-11056.361318646375,1.1327545957828251e+18,-674252093.8929856,461549.1061341152
220000.0,2.355602945047687,1980492968.2194183,6883062087739993.0,-6854727.217193014,-6325017.329181716,1.965599507372057e+18,-285.31435132689177,-442424.9840353165,1.9724825858423286e+18,-16404000473.710474,7848358.782231946
364000.0,-3.290879366882077,1797334966.2173905,7749824860284235.0,5400955.54517144,5022184.702853831,2.7942636035394483e+18,221.4825857904725,300944.7121186493,2.802013358684881e+18,69713606081.20107,11963599.139174629
536800.0,-319.42787939688634,1675258555.3898823,8395848814909271.0,1095330514.6747258,1123046228.4983797,3.670488151178928e+18,45701.52579747067,80028435.61179288,3.678880661363122e+18,3341501776653.174,-572599999.8661274
744160.0,-2802.4549325917433,1586752839.7386591,8928035637308350.0,11450091269.97395,12324490506.761513,4.625037195986597e+18,478629.41060874925,893078799.2384157,4.633933351918002e+18,31909697393327.043,-5323344636.633959
992992.0,-13338.769039259078,1519662989.713884,9391706961273958.0,65541181958.58806,73551201949.15118,5.682369763185971e+18,2744096.393166758,5405214490.35768,5.691586084905062e+18,175555184320622.56,-25441786664.58033
1291590.4,-43615.47876297158,1467135416.2661426,9810195527309238.0,261473668876.53726,303897685405.6289,6.865962997986343e+18,10964491.724226953,22623786263.527416,6.87508869850755e+18,685167302708659.1,-84290494789.65321
1649908.48,-109276.08857053096,1424749049.3259294,1.0197059886907168e+16,808934346284.3468,967621018219.43,8.200495657205297e+18,33974736.87600281,72919864379.9561,8.208600762516269e+18,2094025041655076.5,-220956501355.35583
2079890.176,-224403.59470521772,1389326324.9291544,1.0560870399304536e+16,2067357738251.753,2530698242768.572,9.71309531445571e+18,86968098.59856696,192957798016.72638,9.718340561952809e+18,5320913191861310.0,-499188912442.7556
2595868.2112,-396031.4372896253,1358436230.5281358,1.0907415198194116e+16,4554159068723.446,5677304584176.633,1.1434267392086309e+19,191902587.85033786,437816382689.3101,1.1433478639351257e+19,1.1707868944685296e+16,-1031539443580.0795
3215041.8534399997,-622454.353220051,1330248452.571356,1.1240861248791262e+16,8916847574331.559,11274200910543.697,1.33987188316737e+19,376395359.67334265,879160335715.9143,1.3387008809785242e+19,2.2973973194750924e+16,-2019472386360.2598
3958050.2241279995,-895823.7532876893,1303512736.7668965,1.1564449664994466e+16,15879276183627.832,20296197287272.535,1.5646143668040606e+19,671521086.709409,1600243099422.312,1.5616646981025202e+19,4.110270634579966e+16,-3793277303051.1055
4849660.268953599,-1206674.124919428,1277522237.8999379,1.1880963062081768e+16,26180588456129.49,33739783803092.492,1.822195887289517e+19,1109284300.2150989,2689705526474.963,1.8165707468214761e+19,6.820180304898039e+16,-6824119522687.33
5919592.322744318,-1547720.8243639702,1252005190.8129299,1.2193053005272076e+16,40523430854175.4,52549760542454.695,2.1177921975499903e+19,1720460150.5621166,4236099527127.248,2.1083849372740927e+19,1.0637465044501515e+17,-11683669318597.24
7203510.787293182,-1915625.1450405538,1226952865.672818,1.250344329768617e+16,59539855708839.62,77571542755695.94,2.4572526341209747e+19,2533162773.806013,6324218332034.601,2.4427564799479206e+19,1.5762736678858125e+17,-18943610119887.68
8744212.944751818,-2310803.5906913043,1202427842.9409535,1.281500044689881e+16,83774098257171.84,109528069871708.44,2.8471065342767768e+19,3572115325.578912,9033277138249.648,2.8260296014761525e+19,2.2381569688248627e+17,-29029411910756.586
10593055.53370218,-2736010.742163454,1178406788.8719382,1.3130672254569382e+16,113674324404730.0,149010048591856.2,3.294528528955829e+19,4858296955.0288925,12436169325280.924,3.2652114350919066e+19,3.066187957206972e+17,-42059426181755.484
