t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-0.5976122819009752,221602255808.0322,5.074748422994865e+17,1572969.8511069089,1371561.2852747263,1.1052738861659896e+20,67.72171509114565,105608.25091118888,1.1103486346900365e+20,-10121643977.005377,19982720.58330202
220000.0,69.56881857938157,187892625799.27066,6.487476779370751e+17,-203639878.037493,-183990320.75555798,1.9151584428222785e+20,-8584.729317042555,-13411924.711845824,1.9216459260737657e+20,-647952134673.3118,340170157.26922554
364000.0,695.3409503545397,169696715711.15253,7.349698979007063e+17,-2354055622.6112056,-2265028845.844315,2.7088077176303528e+20,-99648.31451087917,-169595549.3215985,2.716157472082056e+20,-5555139469115.156,3081908861.7671638
536800.0,-4390.538594075798,157126606731.74243,8.005238662441216e+17,13728770388.849827,13671283285.866413,3.541630294958677e+20,580198.8570047212,1007356092.9402565,3.5496349215472e+20,61242821472551.9,-7020378279.090073
744160.0,-93849.36094039268,147675365204.61868,8.556705759641729e+17,373866817290.6923,394793282599.20435,4.4420536701836394e+20,15852256.578361843,29965690232.07345,4.450598137736191e+20,1224873101258590.5,-253749965778.0165
992992.0,-669848.8440025811,140224702363.8542,9.048513950149764e+17,3187973002945.153,3515878031829.3096,5.431492607176232e+20,135395330.95603245,270838819366.89114,5.4404437909691505e+20,9741921757523342.0,-1931208473219.6018
1291590.4,-3088099.8068278017,134111757620.94345,9.504388005545266e+17,17603365063722.38,20116498434011.25,6.529432445893339e+20,748677891.7840976,1568848452669.319,6.538422672253012e+20,5.146452937546206e+16,-9075329703098.572
1649908.48,-11133289.410224369,128893037330.93936,9.939077392539104e+17,76038341717815.64,89393191527195.03,7.755275967958505e+20,3238028815.0424004,7046661732739.698,7.763123561855902e+20,2.0935047573115648e+17,-29644782745594.727
2079890.176,-35333149.70471768,124225552780.2996,1.036318915153539e+18,286755878586142.9,344556603536777.2,9.129109832003125e+20,12224887173.421814,27410736775218.766,9.1325884351994e+20,6.891616349977741e+17,-44304025487508.8
2595868.2112,-107937804.03536059,119779173326.71754,1.0786729743037866e+18,1024402977343768.4,1251159963553331.5,1.0671804201965588e+21,43715678144.439804,100315069134041.38,1.0664655134224701e+21,1.7956906318396257e+18,265038268085672.78
3215041.8534399997,-320850218.88209325,115196921019.25795,1.1228512451632449e+18,3537919824898584.0,4378065200460310.0,1.2403154431328308e+21,151185429545.11475,354078407542115.9,1.2379311406288276e+21,3.5128474785871964e+18,2576485191506057.5
3731019.8886399996,-696360765.4776369,111529654431.02045,1.1589635036956293e+18,8037126153135455.0,9975745342309558.0,1.377184917411432e+21,344022423270.46686,812662761943465.9,1.3735545927631878e+21,4.800366743681739e+18,7747286545610572.0
4161001.5846399995,-1080483191.3342824,108469579519.51628,1.190346971600811e+18,1.3644187836375908e+16,1.7034839122367638e+16,1.4862227195511154e+21,585363718452.8214,1401613096160193.8,1.4817376334213698e+21,5.692846307057664e+18,1.4668019711822544e+16
4519319.664639999,-1354033960.4572778,105872618477.36037,1.2177883574547853e+18,1.922236509565943e+16,2.4164633266713916e+16,1.5735324187711628e+21,826733436590.6947,2010313371568052.0,1.568447025891819e+21,6.3267561518224e+18,2.1823223440056428e+16
4817918.064639999,-1517374841.3020778,103654855113.19165,1.2414111558496312e+18,2.4198028267984436e+16,3.0601179145303268e+16,1.643753884416358e+21,1043206459181.1305,2572948012009547.0,1.6382311370163854e+21,6.79315684543801e+18,2.83749090126159e+16
5066750.064639999,-1608531322.2375498,101758344966.62646,1.261427438578473e+18,2.8425487721654156e+16,3.6113909314330936e+16,1.7004760940646527e+21,1228064211529.9048,3065517067556137.0,1.6946233710774568e+21,7.147726312048939e+18,3.4030255899409704e+16
5274110.064639999,-1658203818.7383165,100138212996.64355,1.2782027542698348e+18,3.1941254699730148e+16,4.072239945082102e+16,1.7464863854736308e+21,1382497086950.073,3485388320862589.5,1.7403780980654908e+21,7.423863740973014e+18,3.877684641308274e+16
5522942.064639999,-1664136525.8132458,98148102156.78079,1.2980049073017551e+18,3.5950663838316428e+16,4.603908035586952e+16,1.7999005682493363e+21,1559439482105.3225,3981166917556562.5,1.7935029186291454e+21,7.737360869289081e+18,4.4266128768164e+16
5730302.064639999,-1675727835.508956,96440795767.1581,1.314352802312546e+18,3.924237663617022e+16,5.038434240692395e+16,1.8431807391263668e+21,1705397573031.536,4394100629904044.5,1.8365563845740682e+21,7.983944175920054e+18,4.878570375029103e+16
5903102.064639999,-1683161442.0482514,94981647503.89264,1.3278175882961915e+18,4.1933734560268264e+16,5.393781256988643e+16,1.878406730208755e+21,1825229255990.7397,4737557095536531.0,1.8716036551083085e+21,8.178978485309041e+18,5.252513289883429e+16
6110462.064639999,-1666450276.2012653,93188654907.46419,1.3435283512095406e+18,4.498488504918272e+16,5.800238357524732e+16,1.919503221785084e+21,1961624810441.577,5138422598825619.0,1.9124949244919732e+21,8.403075788567185e+18,5.687750859304559e+16
6283262.064639999,-1659704405.0091906,91655639049.53842,1.3563881160857326e+18,4.747084420413675e+16,6.129677759539803e+16,1.9529572302848364e+21,2073228369605.1348,5468746418127010.0,1.9457858292246417e+21,8.581562500876449e+18,6.046511687162598e+16
6427262.064639999,-1655414700.2839906,90350511087.27415,1.3669297170622917e+18,4.949710557041248e+16,6.397986422927499e+16,1.9802989412652545e+21,2164523928174.576,5741719621765776.0,1.972996541287686e+21,8.725130041711298e+18,6.342050687228327e+16
6600062.064639999,-1636211921.3472445,88753103848.85715,1.379219123887703e+18,5.1804452465349864e+16,6.7059004743861416e+16,2.0123632630510277e+21,2268834605169.802,6060464167246623.0,2.0049082582789658e+21,8.89231074213568e+18,6.683934402918412e+16
6744062.064639999,-1624727497.6938505,87394491598.19934,1.3892694719422996e+18,5.3682167829362504e+16,6.955343571046541e+16,2.038581202953789e+21,2354028107405.2354,6322316684263854.0,2.0310014091561953e+21,9.029002549450697e+18,6.962099433755115e+16
6916862.064639999,-1603644964.9171438,85733920773.81514,1.4009652846453e+18,5.5823475585818744e+16,7.241336562110062e+16,2.0693476393570363e+21,2451517600691.6855,6627667295943258.0,2.0616231098081532e+21,9.187542234026864e+18,7.281955954098736e+16
7060862.064639999,-1591382985.2693217,84323934092.95673,1.4105191943587835e+18,5.756593883938122e+16,7.472902044451658e+16,2.094519480113044e+21,2531136107610.008,6878335533232066.0,2.0866742970478059e+21,9.31946278116942e+18,7.541530437212909e+16
7233662.064639999,-1570732158.545591,82604082878.66148,1.4216275384525033e+18,5.955355224582462e+16,7.738409702354021e+16,2.1240812633853757e+21,2622271783470.3823,7170617308579833.0,2.116097759696596e+21,9.470842887212544e+18,7.839922886594256e+16
7377662.064639999,-1559669954.2077746,81146735975.99577,1.4306995297073759e+18,6.117621226105328e+16,7.95379108229886e+16,2.1482839187268682e+21,2696960273357.185,7411017659110895.0,2.1401850043682526e+21,9.596915254218164e+18,8.082647181443557e+16
7497662.064639999,-1551353456.6853442,79915892306.67021,1.4381300751261975e+18,6.249718979249802e+16,8.129141764479534e+16,2.1681613874569866e+21,2757939859004.985,7609082665562634.0,2.1599670466856605e+21,9.701064894200572e+18,8.280640028644168e+16
7597662.064639999,-1546744879.921011,78879022485.3002,1.4442340397312438e+18,6.3586475170194584e+16,8.27308891570169e+16,2.1845284572429825e+21,2808387138458.388,7773409937083906.0,2.176261344121751e+21,9.781009080451588e+18,8.443166316943856e+16
7680995.397973332,-1544072217.6379251,78007330465.65654,1.4492633533061478e+18,6.44849585470776e+16,8.391652685784882e+16,2.1980333064645354e+21,2850100340418.1685,7909993567775520.0,2.1897065886995102e+21,9.846523839623641e+18,8.577160777785258e+16
7780995.397973332,-1533992031.5945253,76953318368.93564,1.455190790200786e+18,6.551907269984071e+16,8.529915776246368e+16,2.214050436491789e+21,2898156679177.032,8070923263262212.0,2.2056456132547848e+21,9.931566701495505e+18,8.733937758777248e+16
7900995.397973332,-1515276855.2000628,75677783249.84488,1.462143446898705e+18,6.6704029889934504e+16,8.689317668700776e+16,2.2330073044645954e+21,2953311136751.5356,8258519315525072.0,2.2245090881031394e+21,1.0033068037436854e+19,8.915045011200494e+16
8000995.397973332,-1505376151.2343502,74605113414.2368,1.4678533150147082e+18,6.7686868022729e+16,8.81974450769998e+16,2.2486259759744342e+21,2999228598711.632,8413475157059538.0,2.24005978069663e+21,1.0107718708077285e+19,9.063067223507112e+16
8084328.731306665,-1501454102.146243,73704621983.20955,1.472560123754601e+18,6.8503114637174344e+16,8.927343131977454e+16,2.2615199345199473e+21,3037473081590.837,8542390583799641.0,2.2528989494932412e+21,1.0168014648726082e+19,9.18524757511429e+16
8184328.731306665,-1492658440.6783812,72617530139.45097,1.478112970735649e+18,6.944528505347629e+16,9.053120872278078e+16,2.2768219324951754e+21,3081655697389.111,8694566838020095.0,2.2681262872781455e+21,1.0249145993406829e+19,9.328633663554443e+16
8304328.731306665,-1475067993.7423797,71304514791.55458,1.4846298344255744e+18,7.0520735868974344e+16,9.198024987322664e+16,2.2949456744482962e+21,3132138166126.7734,8871692459129364.0,2.2861564647809213e+21,1.035027232005595e+19,9.494299207459979e+16
8404328.731306665,-1464858826.2699244,70202246373.43669,1.4899810293114719e+18,7.141216714900087e+16,9.316482668952074e+16,2.3098869981938815e+21,3174138042968.6436,9017781604193704.0,2.3010312136749238e+21,1.0423068716742758e+19,9.629478110751042e+16
8487662.064639999,-1461779947.1689415,69278230750.84453,1.494393424955224e+18,7.215945036799888e+16,9.414573531936832e+16,2.3222279706072703e+21,3209475389643.3037,9139755184546552.0,2.3133231437161434e+21,1.0477255669045187e+19,9.74127973703684e+16
8587662.064639999,-1456477180.3193984,68164487392.84865,1.4996068779213015e+18,7.302977746118517e+16,9.529997554543613e+16,2.3368824162223514e+21,3250684703537.596,9284712850613894.0,2.327910924703721e+21,1.0549982951867496e+19,9.873316122449162e+16
8707662.064639999,-1442460589.6437144,66821748131.0894,1.5057370114000028e+18,7.402162023501077e+16,9.663357412306582e+16,2.3542513699979602e+21,3297663570889.473,9453885593870894.0,2.3451871883430129e+21,1.0649764799965102e+19,1.0026624400661624e+17
8851662.064639999,-1423255479.464587,65202942318.83204,1.5129029394452442e+18,7.516251732552886e+16,9.81667026932321e+16,2.374793081013681e+21,3351843565861.7803,9650646527018958.0,2.36563238537311e+21,1.075455487386411e+19,1.020269245294715e+17
8971662.064639999,-1417031767.9632082,63845708453.284325,1.5187877014087142e+18,7.612398302029091e+16,9.94308754865469e+16,2.391707829227746e+21,3397748590221.002,9814638209066338.0,2.382480407682149e+21,1.082810683113459e+19,1.0347531033933922e+17
9071662.064639999,-1415420549.959457,62709150907.33673,1.5236439220301737e+18,7.692078447377827e+16,1.0047617491462024e+17,2.405665484728745e+21,3435891571028.6475,9951483048337668.0,2.3963740989052525e+21,1.0897704366488189e+19,1.0467725736485603e+17
9191662.064639999,-1406370685.4699621,61341414264.2066,1.5293637943770056e+18,7.78300042502699e+16,1.0169172312858811e+17,2.4222215239399485e+21,3479419111510.33,1.0112238877736556e+16,2.412839844356351e+21,1.0994598412184257e+19,1.0608241146544133e+17
9335662.064639999,-1390274659.8984118,59695751993.73809,1.5360569131973222e+18,7.88736178518444e+16,1.0309202387428323e+17,2.4418195913277975e+21,3529492162982.0635,1.0299607079146242e+16,2.432346422616482e+21,1.1093795628864856e+19,1.0769877393823504e+17
9455662.064639999,-1384593218.9566567,58318158396.120026,1.5415576412116462e+18,7.975417158899275e+16,1.0424796648947349e+17,2.457969192414596e+21,3571972561532.0664,1.0455925171229772e+16,2.4484372123502547e+21,1.1158970536687356e+19,1.090288040790906e+17
9555662.064639999,-1383480199.6123295,57165884763.885796,1.5461035756799662e+18,8.048698906325598e+16,1.0520622824136922e+17,2.471303447751546e+21,3607424355771.278,1.0586674997879616e+16,2.4617145230152423e+21,1.1221175953610783e+19,1.1013585809704602e+17
9638995.397973333,-1382089618.892475,56202681947.67714,1.549865706642959e+18,8.108802660748838e+16,1.0599718502800816e+17,2.48233093717165e+21,3636527167490.852,1.0695357889392374e+16,2.472683362854649e+21,1.1284169386590394e+19,1.1105484310715691e+17
9738995.397973333,-1374197939.4062653,55045145776.46143,1.5543081160807603e+18,8.177606281091834e+16,1.0691964660351738e+17,2.4954450379448884e+21,3669831370176.126,1.0823149493602022e+16,2.485722962583416e+21,1.13637761469037e+19,1.121298593816056e+17
9858995.397973333,-1361722343.4571471,53654151727.86599,1.5595290529180365e+18,8.257690931622994e+16,1.0799204690439515e+17,2.5110150008273057e+21,3708696260974.4536,1.0973196099201486e+16,2.501224314957392e+21,1.143838698343675e+19,1.133738003959511e+17
9958995.397973333,-1356268978.5450773,52491269402.060814,1.563831531574866e+18,8.325237476953883e+16,1.0887852048686989e+17,2.523876318147367e+21,3741632485774.219,1.1098310500531512e+16,2.514045290447079e+21,1.1483695879607742e+19,1.143962996263926e+17
10042328.731306667,-1354236737.556218,51519550774.38668,1.5673942703841966e+18,8.381387726649786e+16,1.0961329936028963e+17,2.534516476769584e+21,3769072038248.9272,1.1202772255836578e+16,2.524648701685516e+21,1.1524557956277205e+19,1.1524511611948624e+17
