t(s),Flux surface 2: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total retention volume 8,Total retention volume 7,Total retention volume 6
0.01,0.0,0.0,10432876515074.318,0.0,0.0,1.1371263367339473e+18,1.1371367696104648e+18,0.0,0.0
0.01909090909090909,0.0,0.0,15642398669456.617,0.0,0.0,1.67520927357174e+18,1.6752249159704003e+18,0.0,0.0
0.02909090909090909,0.0,0.0,19941921191272.902,0.0,0.0,2.10406254002485e+18,2.1040824819460396e+18,0.0,0.0
0.040090909090909094,0.0,0.0,23775176958149.63,0.0,0.0,2.4890870310692536e+18,2.48911080624621e+18,0.0,0.0
0.05219090909090909,0.0,0.0,27368932787022.684,0.0,0.0,2.8523100227037793e+18,2.8523373916365716e+18,0.0,0.0
0.0655009090909091,0.0,0.0,30837489939494.016,0.0,0.0,3.204274380481439e+18,3.2043052179713894e+18,0.0,0.0
0.0801419090909091,0.0,0.0,34247203072079.61,0.0,0.0,3.5511822661484186e+18,3.5512165133514813e+18,0.0,0.0
0.09624700909090911,0.0,0.0,37641525976440.53,0.0,0.0,3.8971692930910157e+18,3.8972069346169836e+18,0.0,0.0
0.11396261909090911,0.0,0.0,41051608910947.14,0.0,0.0,4.245244528327307e+18,4.2452855799362125e+18,0.0,0.0
0.13344979009090913,0.0,0.0,44501398550538.016,0.0,0.0,4.597748559501541e+18,4.597793060900091e+18,0.0,0.0
0.15488567819090915,0.0,0.0,48010367141443.94,0.0,0.0,4.956602408100189e+18,4.956650418467318e+18,0.0,0.0
0.17846515510090916,0.0,0.0,51595094928106.15,0.0,0.0,5.32345384924651e+18,5.323505444341433e+18,0.0,0.0
0.20440257970190917,0.0,0.0,55270242834860.03,0.0,0.0,5.699768828456307e+18,5.699824098699129e+18,0.0,0.0
0.23293374676300918,0.0,0.0,59049182081152.17,0.0,0.0,6.086891519667878e+18,6.08695056884995e+18,0.0,0.0
0.2643180305302192,0.0,0.0,62944425395727.64,0.0,0.0,6.486085494453825e+18,6.486148438879212e+18,0.0,0.0
0.29884074267415023,0.0,0.0,66967935177689.21,0.0,0.0,6.898562978865489e+18,6.898629946800651e+18,0.0,0.0
0.33681572603247434,0.0,0.0,71131348542376.03,0.0,0.0,7.325506325849968e+18,7.325577457198511e+18,0.0,0.0
0.3785882077266309,0.0,0.0,75446145253902.33,0.0,0.0,7.76808427217972e+18,7.76815971832495e+18,0.0,0.0
0.4245379375902031,0.0,0.0,79923777086247.77,0.0,0.0,8.227464629036259e+18,8.227544552813341e+18,0.0,0.0
0.47508264044013254,0.0,0.0,84575771056595.56,0.0,0.0,8.704824486173242e+18,8.70490906194432e+18,0.0,0.0
0.530681813575055,0.0,0.0,89413814502912.89,0.0,0.0,9.201358652808845e+18,9.20144806662333e+18,0.0,0.0
0.5918409040234696,0.0,0.0,94449827205856.16,0.0,0.0,9.718286832448926e+18,9.718381282276084e+18,0.0,0.0
0.6591159035167257,0.0,0.0,99696024122187.5,0.0,0.0,1.0256859882390133e+19,1.0256959578414244e+19,0.0,0.0
0.7331184029593074,0.0,0.0,105164971288736.0,0.0,0.0,1.0818365410917222e+19,1.081847057588855e+19,0.0,0.0
0.8145211523461473,0.0,0.0,110869636787741.4,0.0,0.0,1.140413289826443e+19,1.1404243767901192e+19,0.0,0.0
0.9040641766716712,0.0,0.0,116823438185919.28,0.0,0.0,1.2015538480635933e+19,1.2015655304074082e+19,0.0,0.0
1.0025615034297475,0.0,0.0,123040287554559.83,0.0,0.0,1.265400950332834e+19,1.2654132543615887e+19,0.0,0.0
1.1109085628636315,0.0,0.0,129534634882042.25,0.0,0.0,1.3321028925114456e+19,1.3321158459749286e+19,0.0,0.0
1.230090328240904,0.0,0.0,136321510562440.45,0.0,0.0,1.4018139638659127e+19,1.4018275960169728e+19,0.0,0.0
1.3611902701559035,0.0,0.0,143416567482118.44,0.0,0.0,1.4746948758947572e+19,1.474709217551504e+19,0.0,0.0
1.505400206262403,0.0,0.0,150836123137494.78,0.0,0.0,1.5509131922240625e+19,1.5509282758363798e+19,0.0,0.0
