t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-2.2240030892226916,996486710.3366613,2546815453417116.5,5125162.384356887,4918915.929622451,4.285710126288489e+17,202.06964473915048,281455.9419006254,4.3111781497985344e+17,13112483624.269852,255746.2601957923
220000.0,-120.88165048067586,839463552.0447185,3174369696965141.5,315963771.61111444,312693494.6949358,7.568569240825839e+17,12480.596778307443,18222346.818630088,7.600306648167558e+17,629627334824.8989,-17648985.567791812
364000.0,-1410.9504710260517,762334384.9170632,3541018042440911.5,4256566563.619877,4425033046.436353,1.0851882252072425e+18,168409.19370576198,261917207.7118733,1.0887213164696402e+18,7935687912331.979,35815628.93203607
536800.0,-8111.222263989088,714312937.2672249,3811542626294474.0,28947588691.14792,31527753528.73411,1.434902415964219e+18,1147148.3008810459,1894002972.122248,1.4386618793033341e+18,52139331806495.805,2325868469.995826
744160.0,-29689.532900337956,681317492.1276165,4033047687042461.5,128203976429.07889,145451492123.73013,1.8179253233320225e+18,5088886.841674268,8863222467.29685,1.8217323123553544e+18,226322814404064.9,18373090521.80935
992992.0,-79042.2905005257,657035871.8876891,4225232356324793.5,420675219489.2417,493917065975.71265,2.2440162597974118e+18,16726515.55487917,30513017662.62462,2.2475078783946716e+18,734477931873589.8,80949225587.31975
1291590.4,-166489.04293067282,637980922.2229623,4398167944133896.5,1106558469922.1306,1335909050239.8645,2.722714868735661e+18,44075682.59919958,83631281209.49683,2.725191920989875e+18,1923391444915474.0,250387881696.81976
1649908.48,-294326.57834835356,621999319.8290343,4557708229446788.0,2460463724314.2866,3036605412462.43,3.2641551608538214e+18,98183953.5166761,192567868506.03397,3.26443862693866e+18,4279328593304509.5,603286491594.5952
2079890.176,-456341.6359598642,607734715.8228588,4707606527367528.0,4802554764901.233,6029162238675.176,3.8795340633096714e+18,192012819.4815071,387207603565.70526,3.8758601779924413e+18,8391507302394768.0,1203658872176.4673
2595868.2112,-641839.8332824621,594397010.1709317,4850503689771908.0,8461133550309.275,10761320902860.559,4.5814442313887805e+18,338967603.4838179,699806080539.2413,4.5714120689455923e+18,1.4900517378372436e+16,2071354092454.6172
3215041.8534399997,-840630.0742732794,581604362.856217,4988452031369508.0,13740463501206.836,17648149980657.92,5.384126967162132e+18,551621756.2649038,1162020576901.813,5.364693197228264e+18,2.4451606644780092e+16,3166506070921.2856
3958050.2241279995,-1046131.2785330701,569231129.0208333,5123208093020270.0,20901158678711.48,27043061253430.207,6.303647351840565e+18,840930401.1014551,1802973683984.919,6.271151459015587e+18,3.766444858198274e+16,4400370521726.582
4849660.268953599,-1255992.2772985823,557264032.9885967,5256381673970126.0,30153087270354.87,39227616343581.945,7.3579764753763e+18,1215936794.4476943,2648471281719.03,7.308178386177318e+18,5.512083143721495e+16,5669826602398.906
5919592.322744318,-1471044.6009538877,545689224.0294234,5389482159454977.0,41655972957758.164,54413076385467.79,8.566967818227458e+18,1683785056.9231513,3720991263090.12,8.495085630943802e+18,7.73645580345039e+16,6903132974622.322
7203510.787293182,-1693654.4513107021,534428658.5245203,5523894099874547.0,55521339470055.234,72744326153865.19,9.952226824144679e+18,2249788714.364159,5039870418935.821,9.852971040783628e+18,1.049048831622534e+17,8102084469789.134
8744212.944751818,-1926195.7031892238,523327823.330253,5660813548009897.0,71810516681813.17,94298484664121.56,1.1536887136712126e+19,2917343995.7577662,6621183602209.651,1.140449576936992e+19,1.382155441053528e+17,9369887259674.42
10593055.53370218,-2169955.4172288375,512179120.1949704,5801172264805035.0,90526208725960.84,119074575839201.31,1.3345321258888272e+19,3687584642.12722,8477037760874.458,1.3173604746442764e+19,1.7772484511185293e+17,10921108393047.484
