t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-0.0002787955090639337,956558351.1298823,2040619670604800.5,800.355671510542,663.8416053211713,5.19910043009736e+17,0.034438050531630564,51.4587467901809,5.219506627099168e+17,-29620012.89224106,48893.92338831722
220000.0,-0.01374201622208732,820674858.0183564,2626004520510019.5,42435.93050858184,37529.292226747675,8.963160253579899e+17,1.858502534466767,3108.9253785911287,8.989420298735994e+17,4810460.766522388,168623.46861063188
364000.0,0.12016019232895497,747485120.8202543,2983128933983550.0,-389481.53589876584,-347837.38558359205,1.2643366958049188e+18,-16.871172127520214,-27892.078230518124,1.2673198266695724e+18,-1932698367.1674898,1262393.4121695675
536800.0,2.428529308879836,696369858.6919497,3252040681003700.0,-9212399.140880257,-8957567.669740524,1.6507819981038738e+18,-402.5868296067579,-750770.8960460597,1.654034071133609e+18,-32384763895.242046,17116458.702684246
744160.0,2.323041678119607,657389975.9469738,3474955074125615.5,-15546891.77531897,-16770056.696536379,2.06961021113653e+18,-684.3606405715668,-1484901.8174945645,2.0730851713525166e+18,-5213242391.318006,37586709.591745146
992992.0,-110.75808299531977,626537824.2343595,3670010835698986.5,489141184.4651306,517556748.1819833,2.531627178721598e+18,21416.74875001357,43981088.33970316,2.535295023196606e+18,2167955413330.82,-544011993.2766696
1291590.4,-889.9677287142031,601599492.2526435,3846622326769475.5,4867785923.199001,5405345892.574578,3.0470247455979423e+18,213585.2005304151,467804732.97864985,3.0508521118836244e+18,19272027847842.086,-5245618889.648299
1649908.48,-3879.3575749510214,581134940.5314484,4010286547882337.5,25936768589.465733,29888171786.154716,3.6264028250001915e+18,1139851.025890141,2621451692.244656,3.630314817310885e+18,98378551774427.44,-25867043373.72327
2079890.176,-11953.135360535376,564119829.8048486,4164481879940534.0,98292316477.63078,116708755893.7034,4.281338413038225e+18,4326135.497397691,10358279901.309448,4.285138709343046e+18,364502183244499.4,-91244447178.47563
2595868.2112,-28934.11305466261,549756724.1979873,4311542427827855.5,294491176577.9819,358185102761.1847,5.024800217377888e+18,12980690.050118713,32142329443.62822,5.028033910012613e+18,1078793449138834.6,-258824420262.64743
3215041.8534399997,-58506.46884887319,537366043.6496129,4453109006338440.5,739509780170.9105,916811824707.4094,5.871516618166227e+18,32645882.118135564,83140525521.06017,5.873278232366312e+18,2693863163560799.5,-628862517746.6775
3958050.2241279995,-103071.33205815102,526346708.6863217,4590385892697590.0,1617044022897.907,2035022485585.3835,6.838343484482511e+18,71497251.60218038,186434662329.07837,6.837053704637252e+18,5885365901292872.0,-1361590644063.5056
4849660.268953599,-163248.2472862352,516188169.4460055,4724303862489270.0,3164165940747.5166,4028621764716.4614,7.944652873351335e+18,140132997.96131074,372791575341.5871,7.937840349656153e+18,1.1547089414318786e+16,-2696137284168.8516
5919592.322744318,-238211.9102788408,506501844.8973059,4855638450394973.0,5655597974973.598,7265328127746.631,9.212746457523772e+18,250904604.67914712,679043582655.8403,9.196869642425144e+18,2.0751019658668604e+16,-4965889052334.533
7203510.787293182,-326522.80258070026,497041991.33128136,4985106645418689.0,9382482423456.469,12135335400380.701,1.0668278798004363e+19,416999311.1053521,1145650578805.1384,1.0638609417491302e+19,3.4685751856292336e+16,-8600812486273.747
8744212.944751818,-426952.371031187,487698885.9220052,5113447932554372.0,14631450854505.822,19022254237861.773,1.2340653912354427e+19,651528158.1738905,1814187945199.988,1.2291225841054358e+19,5.4591094357728056e+16,-14106580555466.203
10593055.53370218,-538973.9429883196,478462405.2477712,5241483073728945.0,21668284975112.77,28280589566391.594,1.4263339351426378e+19,966809161.3891654,2725340225613.6797,1.4186951879899122e+19,8.170364488198915e+16,-22015099440886.316
