t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
50000.0,-27670.457841542247,48360706552.1371,1.1760828614841043e+17,37262338453.722626,33189056081.071747,9.180161348475002e+18,1282106.454378936,1151829832.0797787,9.297769634623472e+18,62640914364238.945,-1175057032.3771455
105000.0,-327022.28999367,88533010245.27292,2.632155396246556e+17,476859825577.2029,445597512680.7255,2.5689949744685707e+19,16426303.447315307,15664390259.783104,2.5953165284310733e+19,761991131407973.1,21344833096.790924
165500.0,-1772305.9181072635,77879186362.29996,3.0299503473765184e+17,2851870086573.8755,2795956237534.583,3.9198154510405894e+19,98361115.35973291,99602716990.62256,3.950114954514582e+19,4385274167642283.5,335368877023.3516
232050.0,-6110994.473842023,72793355788.70886,3.2701616093010246e+17,11049778383290.44,11336211094894.24,5.221864730405708e+19,381614393.7947858,409244471975.84485,5.2545663464996635e+19,1.6497086695970958e+16,2034607974301.5845
305255.0,-15541142.171933508,69697619489.94745,3.447599064177634e+17,32082246449006.992,34294083385997.336,6.530865651950329e+19,1109517895.6496048,1254250893657.473,6.565341642594783e+19,4.678932806704703e+16,7796281940190.703
385780.50000000006,-31804747.61932153,67528582237.958115,3.591234904138237e+17,75908907791274.02,84111834720392.08,7.872663586564778e+19,2628895751.692431,3115128848732.173,7.908575935612348e+19,1.0852867806031853e+17,22323686775280.25
474358.5500000001,-55491445.64641875,65837439681.45017,3.7138106693625734e+17,154490595065436.3,176514259202415.6,9.263290052991415e+19,5357981302.746556,6616433481407.059,9.300428159697184e+19,2.1683197167657936e+17,52221942933749.0
571794.4050000001,-85973036.06849737,64406449245.28438,3.822105256231944e+17,280627930170180.4,328965705931750.06,1.071474400235475e+20,9746596619.518791,12473489266359.049,1.075296505493866e+20,3.865198230087462e+17,105507071880832.84
678973.8455000003,-121834862.91923806,63124695083.890945,3.9201994152263904e+17,467032042933243.44,559201685393320.06,1.223732481188657e+20,16244073263.245644,21437859038847.137,1.2276526806074316e+20,6.302410941145649e+17,191132300605553.28
796871.2300500004,-161429226.5883979,61936121380.96863,4.010792513127771e+17,725783318855444.1,884229160020167.5,1.3840732079416818e+20,25280454239.95893,34257953266630.566,1.3880840004602179e+20,9.572340332895192e+17,318787753389175.56
926558.3530550005,-203279509.14976954,60813441046.85208,4.095822009275741e+17,1068118424580681.8,1319841299287281.2,1.5534591626526333e+20,37259059827.397514,51658541716868.77,1.5575549846697545e+20,1.3727830524265085e+18,499008064170062.0
1069214.1883605006,-246261299.14938352,59743615622.455475,4.176786263120668e+17,1504403539282795.2,1880488437917085.8,1.7328659905649554e+20,52555597492.58733,74334642251387.25,1.7370427768389688e+20,1.878251971925342e+18,743471040600790.0
1226135.6071965508,-289611153.9425485,58719498532.82279,4.2549225663870086e+17,2044156753313151.0,2579297313989828.0,1.9232824846612827e+20,71519112502.7545,102952558217048.69,1.9275374072423036e+20,2.47151153919912e+18,1065322392269221.2
1398749.1679162062,-332844642.7197204,57735103241.863304,4.331305581001078e+17,2696019241141239.0,3428066029266370.5,2.1256969527465158e+20,94471302725.39247,138151562515365.19,2.1300282583465774e+20,3.1475819418611354e+18,1479380751185073.0
1588624.0847078268,-375646674.301869,56783103614.13668,4.4068973768684454e+17,3467611480223444.0,4437119787446517.0,2.3410743816315873e+20,121701962449.81883,180541571818868.2,2.345481279032767e+20,3.899341699251082e+18,2002120765846234.8
1797486.4931786098,-417768955.3634863,55853734554.29579,4.482565861929977e+17,4365239140809197.5,5614963361445971.0,2.5703280955526152e+20,153459277250.5211,230693901715892.1,2.5748106614448688e+20,4.718194606287196e+18,2651373683723609.0
2027235.1424964708,-458949823.9395185,54934568896.76599,4.5590820061054054e+17,5393438195914325.0,6967708925494345.0,2.8142893869783787e+20,189934525841.78137,289123656110166.75,2.818848469021726e+20,5.59463021451015e+18,3445715886944917.5
2279958.6567461183,-498862651.4803735,54010825408.96391,4.637103424978283e+17,6554378904015656.0,8498302831156534.0,3.0736786365394335e+20,231241752710.34494,356263820262816.2,3.078315740009382e+20,6.518656739194577e+18,4403539944526166.0
2557954.5224207304,-537095942.2643498,53065973066.5647,4.7171507582137306e+17,7847188582319507.0,1.0205630610703428e+16,3.3490815346258366e+20,277394338268.8247,432433051979167.75,3.35379868543762e+20,7.480122007242106e+18,5541827648835806.0
2863749.9746628036,-573165990.2216204,52082470330.599945,4.7995829718542336e+17,9267299741389030.0,1.2083643068949126e+16,3.640933986607159e+20,328281996891.9702,517801492052453.06,3.6457335696421224e+20,8.468961525200175e+18,6874668104784778.0
3200124.972129084,-606558350.6529951,51042530899.4897,4.884577652296589e+17,1.0805968682664146e+16,1.412069974761235e+16,3.949518888333699e+20,383653090668.9757,612361065166161.4,3.954403466059489e+20,9.475421344399747e+18,8411564966009661.0
3570137.469341993,-636787401.9156828,49928845295.24984,4.972121983721497e+17,1.2450118735248718e+16,1.6299340817251776e+16,4.274976952947815e+20,443107526566.7726,715907680183862.9,4.279949075016239e+20,1.04903006585085e+19,1.0155549900163102e+16
3977151.2162761926,-663457186.1684173,48725213522.12668,5.0620188453006694e+17,1.4182626829274524e+16,1.859665264413243e+16,4.617332121489713e+20,506104390807.156,828041664191055.1,4.622394140431883e+20,1.1505242288476578e+19,1.210116967968844e+16
4424866.3379038125,-686306304.1107954,47417060752.35347,5.153910012069969e+17,1.5983098960399906e+16,2.098529274730372e+16,4.976530160280069e+20,571986122946.639,948190083907091.4,4.9816840704019975e+20,1.25130536785037e+19,1.423274105688294e+16
4917352.971694194,-705226255.8917456,45991818446.1156,5.247315141378285e+17,1.7829093652799424e+16,2.3435120099492784e+16,5.3524872906628334e+20,640018269265.1315,1075651623538737.1,5.357734605927854e+20,1.3507973196439951e+19,1.6523770917144998e+16
5459088.268863614,-720251528.6723274,44439155595.178024,5.3416821007005005e+17,1.9697665584657588e+16,2.591525932512384e+16,5.745144089508807e+20,709440978947.8569,1209661452026446.5,5.750485771747911e+20,1.4485772247539528e+19,1.893841003850531e+16
6054997.095749975,-731526375.0068575,42751036803.81242,5.436442163779295e+17,2.1567013489988376e+16,2.839631334140453e+16,6.154518285130898e+20,779525200781.5907,1349468584205107.5,6.159954727448638e+20,1.5443663884481843e+19,2.143476323937324e+16
6710496.805324974,-739259169.6310438,40921578593.885025,5.531062820914198e+17,2.3417958049988932e+16,3.085236161144898e+16,6.580749201280211e+20,849624115581.6898,1494412697404671.0,6.586280264271351e+20,1.6380113163153697e+19,2.3968603836598452e+16
7431546.485857472,-743680572.6113703,38946698904.76566,5.625091282647245e+17,2.5235003207713656e+16,3.3262410557051852e+16,7.024127663723898e+20,919210965187.5544,1643985795155194.8,7.029752755193555e+20,1.7294689759841462e+19,2.6495591603630324e+16
8224701.13444322,-745019862.1036997,36823614152.38025,5.71818339819873e+17,2.7006850118561556e+16,3.5611109133161244e+16,7.485108401227336e+20,987898355490.9437,1797868532331084.2,7.490826584829573e+20,1.8188024907596308e+19,2.897030226438589e+16
9097171.247887542,-743504211.3534284,34550302156.30974,5.810115708123698e+17,2.872639050933508e+16,3.788875155696085e+16,7.96430746859213e+20,1055439831856.644,1955940853631726.0,7.970117584521225e+20,1.906166624641778e+19,3.134166211984859e+16
10056888.372676298,-739377607.2297425,32125064196.881153,5.900782488998217e+17,3.0390396107827812e+16,4.0090856775171944e+16,8.462490178404186e+20,1121722130014.3176,2118286542740546.0,8.468390961130697e+20,1.991756371132644e+19,3.355097427102355e+16
