t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-7374.035901730479,4148416080.890391,1.1906410290526794e+16,15600194640.098955,15699783391.950281,1.5444299060996024e+18,571037.8377201974,699022407.4617134,1.5563200804057203e+18,16261255687966.566,6728297659.666922
220000.0,-73488.02511544352,3485656762.3289165,1.4525456165988672e+16,182899890355.63556,194186750750.60977,2.7755183173592817e+18,6706755.706238788,8790922278.336966,2.7898579826030157e+18,186085554704787.44,91251828895.55472
364000.0,-330669.06303576316,3197641168.2089224,1.601529733306931e+16,998172848239.4178,1111753907323.8098,4.0251199711535667e+18,36671011.28979571,51170342806.02108,4.0401359111140925e+18,1000960568807030.4,557937495342.7991
536800.0,-940611.9859299739,3031613412.25238,1.7102457508112418e+16,3532826706828.537,4097248103618.165,5.36818094278959e+18,130048822.43029203,191677843625.16302,5.381771245613009e+18,3517830783566003.5,2145783846430.5894
744160.0,-1973876.9908057698,2917974672.22592,1.7987496059478946e+16,9395877706500.443,11258789473738.773,6.848807170879815e+18,346604123.07743984,535155153797.0418,6.857465249817301e+18,9344568343882176.0,6038947077798.562
992992.0,-3354449.7799651697,2828710399.706637,1.875342177440016e+16,20440226085941.566,25124089571015.203,8.504340223809739e+18,755677991.7902341,1212908237595.504,8.502731227741382e+18,2.0395594322130156e+16,13601500203832.006
1291590.4,-4918539.3987379465,2751359905.339091,1.9443180708452772e+16,38414175717985.68,48136369806525.89,1.0371819630114666e+19,1423434196.0193596,2359542588410.555,1.0352736714548746e+19,3.8588989666516616e+16,26018119305114.855
1649908.48,-6510847.195533021,2680625222.8910685,2.0082844960227296e+16,64736026554080.97,82292110220855.0,1.249046850577664e+19,2404501484.622923,4094819039136.969,1.2445019563219937e+19,6.5638831610138584e+16,44081267023093.734
2079890.176,-8040101.746446009,2614505209.816873,2.0690436117936404e+16,100431268665824.42,129021097367679.16,1.490274193465509e+19,3739541931.362014,6516390102898.801,1.4820616549414324e+19,1.0298358282153496e+17,68211032827190.7
2595868.2112,-9481478.540428782,2552172800.3182626,2.1279658242740704e+16,146174956578160.5,189239927950838.5,1.7654619865343015e+19,5456701751.735536,9701099290204.05,1.752433666275937e+19,1.5180934950813514e+17,98632758873928.38
3215041.8534399997,-10851880.562547594,2492879644.9291205,2.186144435739795e+16,202361406552616.8,263459573994169.53,2.0795403064688046e+19,7574110246.561013,13709503796845.455,2.060450276229433e+19,2.1310570121793904e+17,135583591731499.73
3958050.2241279995,-12182886.751275333,2435565521.8545504,2.2444492710810668e+16,269145789238669.2,351857688150972.56,2.4377169858199884e+19,10101381709.543129,18589225507892.797,2.4112367697728266e+19,2.877068043296243e+17,179451657429935.75
4849660.268953599,-13502250.73344396,2378891280.569362,2.303536740184811e+16,346435125312836.3,454278452357945.9,2.8454031955700617e+19,13039265038.793306,24375003201382.207,2.810136533289014e+19,3.762962798578894e+17,230811974460362.44
5919592.322744318,-14824887.903951364,2321434049.6896014,2.3638453539954836e+16,433834874331150.25,570167317188341.2,3.308133925519309e+19,16377633363.20406,31085418810980.055,3.2626344925558247e+19,4.793775164376987e+17,290370725257022.7
7203510.787293182,-16150544.943587882,2261860359.56416,2.425590382026547e+16,530576750325098.25,698476578910200.9,3.831502427117212e+19,20092725808.447346,38717719390311.15,3.7742962025789104e+19,5.972270925908872e+17,358847753896275.44
8744212.944751818,-17465167.421524752,2199005496.416001,2.4887647492414324e+16,635462350017553.9,837590017044407.5,4.421133851150246e+19,24144897366.2875,47242890570417.36,4.350745346256315e+19,7.298561970030856e+17,436818830634868.7
10593055.53370218,-18744014.633956764,2131880267.4550505,2.5531519994739508e+16,746856221532046.1,985312897996085.2,5.082728150823276e+19,28478119389.53837,56603234876308.16,4.9977073022764605e+19,8.770042864610132e+17,524519833586584.5
