s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
5.713959183633919e-01;0.000000000000000e+00;NaN;NaN;1.047399372688417e+21;2.283521859554224e+01;NaN;3.798097456018279e+03
5.741881384659409e-01;0.000000000000000e+00;NaN;NaN;8.899686383104739e+20;2.284608233327489e+01;NaN;3.704633584239377e+03
5.788294445512920e-01;0.000000000000000e+00;NaN;NaN;9.183748771140960e+20;2.242194867672677e+01;NaN;3.539390480692022e+03
5.844813744780388e-01;0.000000000000000e+00;NaN;NaN;8.655280075408799e+20;2.131906121160904e+01;NaN;3.562935597231500e+03
5.895001350316618e-01;0.000000000000000e+00;NaN;NaN;4.812352099892581e+20;2.604702355122746e+01;NaN;1.773364157085915e+03
5.958303396743118e-01;1.962118374586529e+18;1.330368489267658e+01;NaN;4.807820949963215e+20;2.256102840636505e+01;NaN;1.526732379810262e+03
6.059607146042290e-01;1.609224413102926e+18;1.010149281300497e+01;NaN;4.900363079174164e+20;2.468697911439293e+01;NaN;1.775680454476472e+03
6.161914304398897e-01;2.949441192012294e+18;2.437989872265827e+01;NaN;5.280961582125657e+20;2.278265066207254e+01;NaN;1.652588085716550e+03
6.218569781585004e-01;1.779012864592156e+19;2.400606455080075e+01;NaN;5.978629850193166e+20;2.134231530748846e+01;NaN;1.657843318082971e+03
6.288824188932652e-01;1.065402855016257e+19;2.014837517054538e+01;NaN;5.437757154478767e+20;2.525105548839365e+01;NaN;2.057323649074017e+03
6.393962018996865e-01;1.094744600959420e+19;2.232916334789497e+01;NaN;5.648033461686554e+20;2.280997669040998e+01;NaN;2.004081579058917e+03
6.444895360993572e-01;0.000000000000000e+00;NaN;NaN;4.678559597413184e+20;3.775564050022872e+01;NaN;2.564427862656905e+03
6.495423367435241e-01;2.026247059595356e+19;2.516401363413048e+01;NaN;6.132450066862804e+20;2.560049806446496e+01;NaN;2.138864142705807e+03
6.590094051627661e-01;2.333942421195215e+19;2.100057287157869e+01;NaN;6.453837579039766e+20;2.365324508977520e+01;NaN;2.276982476980224e+03
6.645936879182079e-01;9.819655020998212e+18;2.011323408575675e+01;NaN;7.344491631119820e+20;2.211422596655100e+01;NaN;2.566185755604603e+03
6.695918273105915e-01;5.969110534120445e+19;1.900339725400201e+01;NaN;7.654648002116211e+20;2.195016379042936e+01;NaN;2.552173127388412e+03
6.783145662683023e-01;6.081799033816750e+19;2.363913134784316e+01;NaN;6.745966967318434e+20;2.419291985839882e+01;NaN;2.515557821180258e+03
6.834175308061823e-01;0.000000000000000e+00;NaN;NaN;1.044880875714427e+21;2.416596395357403e+01;NaN;2.975025964606310e+03
6.881026229062193e-01;1.344884438424183e+20;2.430333557049034e+01;NaN;7.707139193312396e+20;2.127294716540462e+01;NaN;3.385605094703731e+03
6.957997358524409e-01;1.876710458822264e+20;2.804758687681328e+01;NaN;8.938459132210184e+20;2.195372099794981e+01;NaN;3.439197112298951e+03
6.999294065045440e-01;3.460515754281950e+20;2.970410866849390e+01;NaN;8.034960572083354e+20;2.679574102418701e+01;NaN;4.608102640837629e+03
7.046036503701563e-01;3.546541876487984e+20;3.117845886044365e+01;NaN;9.946779513420904e+20;2.316390064693994e+01;NaN;5.196472780243536e+03
7.104451952030111e-01;4.560054225222896e+20;2.978941684418280e+01;NaN;1.001761603956663e+21;2.409487535611451e+01;NaN;5.162623457224296e+03
7.138966885644596e-01;8.448334108870965e+20;3.128504590469009e+01;NaN;1.021515261294585e+21;1.863787438457904e+01;NaN;7.318691955344554e+03
7.182432415040987e-01;8.623064091468718e+20;2.937218868573064e+01;NaN;1.085302915947595e+21;2.017230703193390e+01;NaN;7.823751180265353e+03
7.227039321185542e-01;8.147359285449248e+20;3.376868544886189e+01;NaN;1.250472085188125e+21;2.056840575051861e+01;NaN;7.811332159498536e+03
7.257217095519308e-01;1.381582870599375e+21;3.225429683587951e+01;NaN;1.193198361687703e+21;1.914947678252250e+01;NaN;1.184443625347392e+04
