t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-0.5634667073968715,153654140280.8389,3.492179860478188e+17,1504443.4760733936,1301100.087322623,7.720961438297278e+19,64.36682232941433,98429.74180264665,7.755883237405175e+19,-5040410179.930735,12466486.583277361
220000.0,34.985520806200654,130554301503.49751,4.462476174302719e+17,-102563741.37564574,-92255784.37779923,1.338141177735264e+20,-4331.596390025518,-6764620.134544501,1.342603657355871e+20,-345020944771.1636,189038555.35778698
364000.0,429.16156753299845,118140346799.32564,5.0525313351868365e+17,-1442656862.2230878,-1383063367.5677128,1.893437745242312e+20,-61201.50491664915,-104227643.25680585,1.8984903130968513e+20,-3656798038843.227,1931743418.2967746
536800.0,-1697.5355712330452,109591715770.5438,5.499017239847411e+17,4973931644.607335,4890058234.864072,2.476938647910268e+20,210440.1802661534,358975706.1542483,2.4824374026456482e+20,26262424338069.992,-1755236270.5976117
744160.0,-47115.84631129352,103187005848.03197,5.872470056598829e+17,186900825077.69687,196728407198.5534,3.1088387038529264e+20,7943400.737667773,15045842579.701488,3.114704873114191e+20,630611506539277.1,-133289090471.09808
992992.0,-343283.2551872808,98170296603.3468,6.203250727935429e+17,1633335651127.422,1797903403965.09,3.804568091440306e+20,69537755.40214156,139639630432.52216,3.810720277021799e+20,5111138395494130.0,-1052799893753.6171
1291590.4,-1541527.0002166433,94100772111.19394,6.507367933809957e+17,8827677214568.934,10081169965732.475,4.578397725177245e+20,376384878.16650164,793065675773.1163,4.5846400777764084e+20,2.6526186335240172e+16,-4950583129677.741
1649908.48,-5190616.821118132,90686415354.42102,6.794516464619003e+17,35946668667561.945,42292795825681.055,5.4448071070925324e+20,1534760421.443873,3365151306022.486,5.450564106838893e+20,1.0385004994867987e+17,-16771972140672.268
2079890.176,-14571941.2749479,87708921292.0045,7.071289763120077e+17,121905875038275.17,146842503427137.38,6.419138904256093e+20,5211568730.555516,11803690281866.74,6.42291726103363e+20,3.29614165862021e+17,-40310028227837.81
2595868.2112,-36782707.43285445,84975579532.37553,7.342854087752303e+17,368557646777264.56,452060121910132.4,7.517932634591164e+20,15775256972.053303,36669869689399.8,7.516587034019495e+20,8.697409183557526e+17,-38148997634252.08
3215041.8534399997,-88003018.14785811,82297955393.8213,7.61469846321507e+17,1042283382893700.8,1296180622810656.5,8.758912589899724e+20,44665798335.04556,106019734407889.03,8.747612719699157e+20,1.8936550005367357e+18,246394255370232.0
3958050.2241279995,-200263627.4495603,79495623374.83423,7.896874779462454e+17,2788976772806819.0,3507033130057146.5,1.0159769237650983e+21,119699414167.70578,289478556742564.94,1.0134168774499708e+21,3.3546158108033905e+18,1703590419070117.2
4577223.866367999,-362664779.70479584,77269930610.7608,8.121149756554616e+17,5379453511985911.0,6788041210112474.0,1.1273159542548469e+21,231216618753.3532,564137935614404.6,1.1236489422972056e+21,4.4873911935158646e+18,4467603660424816.5
