t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-51795.809975250326,295927782.0806287,960815546816831.9,96862478778.78632,105231129304.88486,9.249155468744997e+16,3193696.6804083064,3262584259.914621,9.34079947859088e+16,44499632725422.73,81175018478.91068
220000.0,-229822.1075722368,252911445.40159646,1141989937661260.5,552116436643.2072,632463807740.0381,1.6998715202533168e+17,18254063.899985094,20047135518.472244,1.7087637529390525e+17,253476759346225.62,494555374374.89594
364000.0,-528105.3658323581,235998608.84598964,1242188006664182.8,1677021960133.8926,2002038512634.6694,2.5002430245189517e+17,55606976.80278016,64849948925.33683,2.504935369102557e+17,775122185005256.0,1575329326096.2947
536800.0,-865811.0365262047,225421819.37431324,1314932285093195.8,3683313895693.635,4533387320536.694,3.3690085726113504e+17,122501736.03235541,149983823870.9798,3.364962459424462e+17,1724340059944164.2,3570351378296.395
744160.0,-1168654.965570985,217189990.93973708,1374618569472599.0,6644284407344.538,8357268872429.911,4.332287767125854e+17,221666739.2917145,282246297633.9414,4.314467536773262e+17,3165359793829537.5,6565832143951.145
992992.0,-1408625.6190587746,210194680.21674076,1427291179284841.0,10538129931400.566,13457081990699.025,5.411650353631897e+17,352688135.41553015,463708874830.11536,5.374791997550027e+17,5127055646973894.0,10530413985325.584
1291590.4,-1591806.6041832387,203981465.18457237,1476114658758889.2,15299912497492.033,19743467263480.543,6.627062770542237e+17,513705449.22184354,693893939510.0471,6.565801493479986e+17,7622593908344663.0,15386244042507.117
1649908.48,-1735312.0499362014,198243909.2572575,1522923514417276.8,20849928276420.51,27101912372028.58,7.997790102154675e+17,702349729.4867934,971322802580.9344,7.90668949259636e+17,1.0660856509914906e+16,21051826140574.363
2079890.176,-1854244.4542629162,192732224.75005683,1568798748031230.8,27100424082924.156,35407384854396.81,9.542719666646597e+17,915971443.2016556,1294065872736.0898,9.416273455316223e+17,1.4249770351955868e+16,27452319892761.582
2595868.2112,-1958228.907932534,187249887.81934017,1614334663564831.5,33951978612391.15,44521194373769.71,1.1280545437809499e+18,1151522302.7553499,1659682453181.3186,1.1113191607339471e+18,1.839533875421795e+16,34512963319973.156
3215041.8534399997,-2052159.408003163,181651780.17030576,1659787162565905.0,41288630734204.43,54284365143093.81,1.3230002110771727e+18,1405388514.5153472,2064985482671.787,1.3016158102544502e+18,2.3099678281825876e+16,42149090223654.83
3958050.2241279995,-2137811.8141017724,175833635.3183993,1705170088397696.8,48976619769737.086,64515420336337.18,1.541027061523088e+18,1673337646.1351597,2505899547109.1855,1.5144379026832292e+18,2.8360069631259036e+16,50258909978153.04
4849660.268953599,-2215167.9610913303,169721312.4541711,1750328469191631.2,56868404082555.88,75015322159607.38,1.784164485741644e+18,1950637462.8241675,2977527073993.2183,1.7518209839722143e+18,3.4169973303457428e+16,58720139140788.945
5919592.322744318,-2283309.695050118,163265805.9483494,1795002727397979.8,64811574521118.11,85579130725648.7,2.054650451174543e+18,2232337978.750742,3474437179758.693,2.0160097306842468e+18,4.052220108899773e+16,67389503451072.19
7203510.787293182,-2341008.375167284,156443362.31191358,1838888990399196.0,72660923649928.56,96011998838917.83,2.355057265976489e+18,2513662978.8564744,3991126183115.9883,2.309578877169931e+18,4.741384045953885e+16,76103899732399.73
8744212.944751818,-2341008.375167284,156443362.31191358,1838888990399196.0,72660923649928.56,96011998838917.83,2.355057265976489e+18,2513662978.8564744,3991126183115.9883,2.309578877169931e+18,4.741384045953885e+16,76103899732399.73
10593055.53370218,-2341008.375167284,156443362.31191358,1838888990399196.0,72660923649928.56,96011998838917.83,2.355057265976489e+18,2513662978.8564744,3991126183115.9883,2.309578877169931e+18,4.741384045953885e+16,76103899732399.73
