t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
100000.0,-0.39404369576801884,101110875003.94965,2.2642400007231926e+17,1072992.5435052637,917237.2124011723,5.1708675166508745e+19,45.904824972981466,69523.60596825679,5.193509916862881e+19,-2052399831.0587602,6949027.869828741
220000.0,8.266947931465877,86133796720.07945,2.897043318832847e+17,-24295394.295699507,-21498979.68408244,8.952824326096128e+19,-1029.520631717867,-1592587.280607975,8.981794769544824e+19,-102719444490.05168,68616315.70659353
364000.0,193.6271902422853,78087188737.11073,3.2816396177197203e+17,-643789894.9821923,-610634054.2862298,1.2661777695748239e+20,-27473.854057886525,-46866920.52758919,1.2694594280114515e+20,-1884137999196.0151,945642720.8593943
536800.0,79.91422623533282,72532228451.28502,3.5719156813728224e+17,-715057090.8365045,-765620427.414786,1.6560299756649307e+20,-30858.592231652496,-64027932.26695825,1.6596018720397158e+20,1927160421229.6118,1953483845.180485
744160.0,-14188.492325724677,68359838035.88083,3.813818126987045e+17,55232297249.54555,57546692965.87841,2.0785092747549606e+20,2362142.587578173,4488122837.963072,2.0823210465393482e+20,204795679802383.28,-44148976509.135124
992992.0,-123509.9912493166,65093089322.8327,4.027080784572301e+17,582509247933.0962,636692000455.1353,2.5441357102778715e+20,24961230.604604546,50525083069.8956,2.548143348703891e+20,1945943784784659.5,-438177892296.1366
1291590.4,-592339.1681199156,62457318239.70265,4.222032403552654e+17,3372305425066.453,3831275255384.1353,3.062727917127492e+20,144731188.88746455,308134815252.2141,3.066842286781506e+20,1.07760493534086e+16,-2262539118063.026
1649908.48,-2024192.369256272,60271552480.56479,4.4048296745868346e+17,14003904315921.914,16419775310019.547,3.644356588541146e+20,601879089.9692206,1336361788985.2354,3.648328060290606e+20,4.337581103329538e+16,-8257877382987.014
2079890.176,-5524548.9198878845,58403613370.554306,4.579528247958586e+17,46612660306669.7,56053868609681.89,4.299834224918131e+20,2006170879.703878,4611794066288.926,4.303022159385819e+20,1.3928992387860341e+17,-23265519563444.754
2595868.2112,-12947064.799079005,56743148785.292885,4.749068423437624e+17,132952344606473.4,163088473695772.28,5.0410222091408985e+20,5729930403.453706,13552390524141.307,5.042033301047915e+20,3.741570074524591e+17,-49756869181052.59
3215041.8534399997,-27462914.761383068,55188186431.52489,4.9158986772124883e+17,340525675138189.44,424165348249440.9,5.881031655768149e+20,14695421461.275272,35573776924954.75,5.877368174322639e+20,8.588014057638188e+17,-63113994980985.03
3958050.2241279995,-54659342.63658362,53644728915.193756,5.08271327879091e+17,809149219778477.4,1019830520788301.0,6.834253788951254e+20,34966403879.80172,86283328123695.97,6.822427669678622e+20,1.6927349432903652e+18,63609886424747.43
4849660.268953599,-103201379.30920067,52033277705.58417,5.253932700183668e+17,1809408539527285.8,2301808634041412.0,7.915819673428596e+20,78314187820.51306,196543132355383.78,7.8924261568182e+20,2.868361318099422e+18,691451579679377.4
5919592.322744318,-180226167.99730024,50290154920.07179,5.438156516534698e+17,3762245417273496.5,4823738702863359.0,9.139329277250077e+20,163194395351.43692,416660170291561.06,9.10247920079846e+20,4.2353611966835907e+18,2464907615990048.5
6811202.367569918,-263403920.73647603,48897685625.6525,5.5878733126075635e+17,6049881641769937.0,7783195786306125.0,1.0111378251399713e+21,262976020841.89832,678870449065048.4,1.0064796307388523e+21,5.226578280074064e+18,4915663156682689.0
7881134.421360637,-338344755.95970404,47295539027.06127,5.765021040869134e+17,9261988592326910.0,1.1982457697059434e+16,1.1212087229222008e+21,403888574865.96045,1061101009723410.9,1.1155716389723359e+21,6.227224660248907e+18,8667344873663758.0
8772744.466186237,-398021874.17197657,45960331014.56289,5.914037967628964e+17,1.2233812491993414e+16,1.5871718566573778e+16,1.2083980270871094e+21,535086965399.1152,1424731871891325.8,1.2020738837294495e+21,6.932733143207546e+18,1.2344809238544998e+16
9842676.519976957,-435737196.6478597,44348735501.95534,6.088589154295872e+17,1.5743949411291114e+16,2.049922888191009e+16,1.30665854567262e+21,691282792462.9556,1873389759865998.2,1.299634998890274e+21,7.653588247089799e+18,1.6934710009044838e+16
10734286.564802557,-464675330.07291764,42962241895.63447,6.231378736523777e+17,1.865807267601085e+16,2.43365134285421e+16,1.384258738769857e+21,822027955081.258,2258480673206655.0,1.3767328313393443e+21,8.173363529479629e+18,2.0935663491696696e+16
